sale_id,date_key,customer_key,product_key,store_key,quantity,revenue,discount
TXN00015270,20240101,9541,453,31,3,11256.0,0.0
TXN00015343,20240101,7704,72,27,5,1590.0,0.0
TXN00015368,20240101,3912,439,34,2,3470.0,0.0
TXN00015682,20240101,1073,156,1,4,168676.0,0.0
TXN00015714,20240101,5061,235,21,1,121.0,0.0
TXN00016001,20240101,6935,118,5,3,28503.0,0.0
TXN00016340,20240101,5231,388,9,3,16752.0,0.0
TXN00016560,20240101,657,1,34,2,222.0,0.0
TXN00017172,20240101,1165,332,3,3,5196.0,0.0
TXN00017174,20240101,9970,161,9,2,212.0,0.0
TXN00017188,20240101,3000,212,37,4,2672.0,0.0
TXN00017308,20240101,8599,499,10,4,50360.0,0.0
TXN00017321,20240101,8234,48,43,4,44944.0,0.0
TXN00018432,20240101,8092,95,50,3,1065.0,0.0
TXN00018746,20240101,2231,107,33,2,6356.0,0.0
TXN00018979,20240101,2804,474,7,3,5277.0,0.0
TXN00019029,20240101,4822,407,14,2,61736.0,0.0
TXN00019051,20240101,1871,274,19,3,1752.0,0.0
TXN00019505,20240101,1970,59,46,2,3812.0,0.0
TXN00019662,20240101,637,424,42,5,12805.0,0.0
TXN00019713,20240101,2370,136,43,5,48380.0,0.0
TXN00020315,20240101,1186,55,50,5,3435.0,0.0
TXN00020368,20240101,3878,332,18,1,1732.0,0.0
TXN00020802,20240101,2869,81,50,1,3841.0,0.0
TXN00020812,20240101,9244,37,27,5,11090.0,0.0
TXN00021387,20240101,3999,485,2,4,103984.0,0.0
TXN00021503,20240101,1808,418,37,3,18876.0,0.0
TXN00021806,20240101,4247,144,46,1,4613.0,0.0
TXN00021820,20240101,8227,295,14,1,167.0,0.0
TXN00021932,20240101,5507,358,33,5,2730.0,0.0
TXN00021945,20240101,4807,157,19,3,62424.0,0.0
TXN00022073,20240101,356,361,16,1,1488.0,0.0
TXN00022613,20240101,9764,41,1,5,4415.0,0.0
TXN00022738,20240101,590,359,50,5,5180.0,0.0
TXN00022992,20240101,1201,444,27,1,1298.0,0.0
TXN00023297,20240101,673,183,50,1,11762.0,0.0
TXN00023357,20240101,6043,481,31,4,30072.0,0.0
TXN00023452,20240101,2433,328,12,5,13535.0,0.0
TXN00023530,20240101,6262,263,12,4,12860.0,0.0
TXN00024108,20240101,4051,20,19,2,4792.0,0.0
TXN00024303,20240101,4287,285,28,1,2763.0,0.0
TXN00024844,20240101,9170,216,22,4,14764.0,0.0
TXN00024848,20240101,4325,428,41,1,2209.0,0.0
TXN00025144,20240101,7466,5,23,4,17916.0,0.0
TXN00025423,20240101,2865,232,25,5,77120.0,0.0
TXN00025479,20240101,2343,468,7,2,9514.0,0.0
TXN00025861,20240101,9722,499,7,5,62950.0,0.0
TXN00026008,20240101,9700,439,40,3,5205.0,0.0
TXN00026461,20240101,2486,239,9,1,1099.0,0.0
TXN00026863,20240101,7907,140,20,2,8362.0,0.0
TXN00026950,20240101,4852,189,14,5,248135.0,0.0
TXN00027240,20240101,4413,43,10,2,1442.0,0.0
TXN00027768,20240101,9677,125,9,5,9005.0,0.0
TXN00028463,20240101,1679,377,4,2,3974.0,0.0
TXN00028900,20240101,2377,55,3,2,1374.0,0.0
TXN00029073,20240101,4818,116,2,4,116664.0,0.0
TXN00029208,20240101,6925,387,9,5,30205.0,0.0
TXN00029410,20240101,1514,401,22,1,24095.0,0.0
TXN00029418,20240101,8720,124,24,4,21948.0,0.0
TXN00029472,20240101,7337,357,30,4,124780.0,0.0
TXN00030519,20240101,1152,216,14,4,14764.0,0.0
TXN00030761,20240101,6434,260,5,2,40112.0,0.0
TXN00030851,20240101,4853,456,47,2,86880.0,0.0
TXN00030936,20240101,2567,145,39,1,3187.0,0.0
TXN00031874,20240101,8644,269,26,3,753.0,0.0
TXN00032019,20240101,4935,472,30,3,13599.0,0.0
TXN00033145,20240101,188,269,14,4,1004.0,0.0
TXN00033197,20240101,7420,110,38,3,143157.0,0.0
TXN00033622,20240101,8654,149,44,5,6995.0,0.0
TXN00033630,20240101,7071,417,44,3,4809.0,0.0
TXN00033726,20240101,219,50,29,1,701.0,0.0
TXN00034048,20240101,333,489,27,4,3112.0,0.0
TXN00034145,20240101,3134,58,32,3,3654.0,0.0
TXN00034321,20240101,9392,287,16,2,11510.0,0.0
TXN00034340,20240101,5136,227,22,2,750.0,0.0
TXN00034353,20240101,4493,71,35,4,3524.0,0.0
TXN00034673,20240101,8963,65,46,2,1202.0,0.0
TXN00034795,20240101,3116,58,31,3,3654.0,0.0
TXN00035386,20240101,5827,97,12,2,2238.0,0.0
TXN00035619,20240101,3815,316,7,4,800.0,0.0
TXN00035623,20240101,4335,414,41,1,506.0,0.0
TXN00035658,20240101,4611,414,46,1,506.0,0.0
TXN00035829,20240101,77,161,16,5,530.0,0.0
TXN00035903,20240101,8061,257,19,5,5260.0,0.0
TXN00036032,20240101,9715,96,30,5,25885.0,0.0
TXN00036084,20240101,7500,192,36,2,4578.0,0.0
TXN00036880,20240101,106,382,43,1,746.0,0.0
TXN00037340,20240101,5394,27,22,5,1475.0,0.0
TXN00037358,20240101,4694,65,39,1,601.0,0.0
TXN00037365,20240101,7892,222,21,1,2104.0,0.0
TXN00037428,20240101,5545,448,47,4,52288.0,0.0
TXN00037724,20240101,2280,411,45,5,48105.0,0.0
TXN00037940,20240101,5993,238,33,4,61296.0,0.0
TXN00038135,20240101,3490,450,45,2,1374.0,0.0
TXN00038386,20240101,839,159,45,3,14523.0,0.0
TXN00038630,20240101,2604,114,1,1,4162.0,0.0
TXN00038823,20240101,4212,266,43,2,3070.0,0.0
TXN00038986,20240101,547,234,47,2,32462.0,0.0
TXN00039004,20240101,7476,101,18,5,10050.0,0.0
TXN00039054,20240101,4364,387,27,3,18123.0,0.0
TXN00039181,20240101,81,13,24,2,14768.0,0.0
TXN00039417,20240101,7352,120,18,5,8475.0,0.0
TXN00039435,20240101,3926,245,1,4,5244.0,0.0
TXN00039539,20240101,506,282,14,5,163320.0,0.0
TXN00039720,20240101,5760,353,36,1,9166.0,0.0
TXN00040232,20240101,8206,372,35,3,4929.0,0.0
TXN00040369,20240101,3533,490,42,2,66332.0,0.0
TXN00040820,20240101,5300,312,35,1,8682.0,0.0
TXN00040860,20240101,7041,109,31,4,170620.0,0.0
TXN00040904,20240101,8700,485,16,2,51992.0,0.0
TXN00041216,20240101,7283,146,19,4,81452.0,0.0
TXN00041221,20240101,9424,441,10,4,4200.0,0.0
TXN00041767,20240101,1442,437,6,3,27444.0,0.0
TXN00041789,20240101,95,333,6,5,17870.0,0.0
TXN00041924,20240101,5776,499,34,2,25180.0,0.0
TXN00042152,20240101,5641,72,12,1,318.0,0.0
TXN00042497,20240101,3673,328,47,1,2707.0,0.0
TXN00042631,20240101,6647,482,9,4,1124.0,0.0
TXN00043229,20240101,3250,186,23,4,73728.0,0.0
TXN00043514,20240101,7087,358,5,3,1638.0,0.0
TXN00043587,20240101,3893,461,44,4,1608.0,0.0
TXN00043613,20240101,7713,21,20,2,2572.0,0.0
TXN00043739,20240101,3604,460,35,3,3996.0,0.0
TXN00043833,20240101,5430,324,47,2,814.0,0.0
TXN00044066,20240101,1056,95,14,5,1775.0,0.0
TXN00044185,20240101,3543,144,14,2,9226.0,0.0
TXN00044955,20240101,9196,90,41,1,699.0,0.0
TXN00045736,20240101,8960,404,5,3,1341.0,0.0
TXN00046024,20240101,7993,203,13,3,3597.0,0.0
TXN00046079,20240101,5689,92,11,2,15484.0,0.0
TXN00046084,20240101,3849,129,37,4,140256.0,0.0
TXN00046629,20240101,433,171,6,5,18960.0,0.0
TXN00047227,20240101,3636,29,32,3,1659.0,0.0
TXN00047231,20240101,429,303,38,4,1608.0,0.0
TXN00047613,20240101,2179,208,36,4,15492.0,0.0
TXN00047666,20240101,1227,76,30,2,788.0,0.0
TXN00047968,20240101,848,233,23,2,14388.0,0.0
TXN00048159,20240101,1385,68,13,5,540.0,0.0
TXN00048253,20240101,2326,441,1,1,1050.0,0.0
TXN00048260,20240101,1441,210,32,2,76020.0,0.0
TXN00048370,20240101,4996,207,38,5,185415.0,0.0
TXN00048399,20240101,7628,365,20,2,1768.0,0.0
TXN00048649,20240101,3532,261,9,3,993.0,0.0
TXN00048905,20240101,4819,147,45,5,36500.0,0.0
