shipment_id,date_key,product_key,store_key,delivery_time,on_time_flag
SHP43003,20240106,161,17,9.0,False
SHP54065,20240106,20,46,9.0,False
SHP56283,20240106,233,40,1.0,True
SHP57823,20240106,368,29,9.0,False
SHP61826,20240106,490,24,4.0,True
SHP63745,20240106,74,1,3.0,True
SHP66660,20240106,40,22,5.0,True
SHP67678,20240106,205,13,9.0,False
SHP68375,20240106,283,6,1.0,True
SHP70512,20240106,355,33,9.0,False
SHP73685,20240106,206,39,5.0,True
SHP79070,20240106,84,41,7.0,False
SHP83940,20240106,75,41,10.0,False
SHP94009,20240106,27,19,7.0,False
SHP17924,20240107,478,47,2.0,True
SHP25970,20240107,279,47,1.0,True
SHP31151,20240107,305,49,3.0,True
SHP33686,20240107,298,8,8.0,False
SHP34812,20240107,12,22,8.0,False
SHP42187,20240107,249,18,4.0,True
SHP44424,20240107,91,21,5.0,True
SHP47762,20240107,349,4,10.0,False
SHP50043,20240107,327,21,9.0,False
SHP52618,20240107,395,11,10.0,False
SHP53197,20240107,493,2,7.0,False
SHP55139,20240107,85,6,2.0,True
SHP58548,20240107,132,8,10.0,False
SHP62224,20240107,298,50,3.0,True
SHP67225,20240107,178,37,1.0,True
SHP71334,20240107,232,23,6.0,False
SHP72013,20240107,410,35,10.0,False
SHP73226,20240107,304,23,1.0,True
SHP76350,20240107,41,9,1.0,True
SHP81898,20240107,230,30,7.0,False
SHP85100,20240107,271,41,3.0,True
SHP85261,20240107,213,13,9.0,False
SHP85872,20240107,116,33,10.0,False
SHP88380,20240107,72,9,2.0,True
SHP90611,20240107,434,3,6.0,False
SHP14956,20240108,260,16,8.0,False
SHP19021,20240108,238,49,9.0,False
SHP22773,20240108,351,32,4.0,True
SHP24699,20240108,264,4,5.0,True
SHP25309,20240108,186,18,7.0,False
SHP25694,20240108,469,1,1.0,True
SHP27034,20240108,46,49,7.0,False
SHP29657,20240108,115,32,9.0,False
SHP32005,20240108,430,22,7.0,False
SHP35376,20240108,162,45,3.0,True
SHP40377,20240108,33,8,8.0,False
SHP42388,20240108,372,11,2.0,True
SHP51533,20240108,481,14,1.0,True
SHP55291,20240108,350,15,8.0,False
SHP59493,20240108,226,39,10.0,False
SHP70115,20240108,2,16,1.0,True
SHP75489,20240108,13,18,10.0,False
SHP82213,20240108,459,11,7.0,False
SHP83129,20240108,427,28,5.0,True
SHP85265,20240108,176,39,4.0,True
SHP91463,20240108,218,38,10.0,False
SHP27135,20240109,192,32,4.0,True
SHP27998,20240109,293,39,1.0,True
SHP37431,20240109,292,9,6.0,False
SHP46448,20240109,188,19,7.0,False
SHP47650,20240109,156,17,7.0,False
SHP48150,20240109,103,36,4.0,True
SHP57475,20240109,465,27,4.0,True
SHP61137,20240109,287,37,7.0,False
SHP64427,20240109,40,5,10.0,False
SHP65210,20240109,121,19,6.0,False
SHP65654,20240109,222,28,8.0,False
SHP84957,20240109,265,28,3.0,True
SHP98952,20240109,467,49,7.0,False
SHP14161,20240110,482,28,6.0,False
SHP15207,20240110,334,3,6.0,False
SHP24850,20240110,356,33,1.0,True
SHP26645,20240110,447,18,9.0,False
SHP48343,20240110,182,34,10.0,False
SHP51112,20240110,193,1,8.0,False
SHP51196,20240110,134,17,7.0,False
SHP51924,20240110,172,34,3.0,True
SHP52517,20240110,98,29,4.0,True
SHP67706,20240110,322,3,7.0,False
SHP69549,20240110,167,6,3.0,True
SHP72813,20240110,17,14,4.0,True
SHP72982,20240110,2,45,9.0,False
SHP84299,20240110,339,46,3.0,True
SHP85949,20240110,324,34,10.0,False
SHP87423,20240110,302,11,3.0,True
SHP96705,20240110,262,29,7.0,False
SHP97334,20240110,15,48,5.0,True
SHP98250,20240110,11,18,6.0,False
