date_key,date,year,month,day,is_weekend,is_holiday,festival_name
20240301,2024-03-01,2024,3,1,False,False,
20240302,2024-03-02,2024,3,2,True,False,
20240303,2024-03-03,2024,3,3,True,False,
20240304,2024-03-04,2024,3,4,False,False,
20240305,2024-03-05,2024,3,5,False,False,
20240306,2024-03-06,2024,3,6,False,False,
20240307,2024-03-07,2024,3,7,False,False,
20240308,2024-03-08,2024,3,8,False,False,
20240309,2024-03-09,2024,3,9,True,False,
20240310,2024-03-10,2024,3,10,True,False,
20240311,2024-03-11,2024,3,11,False,False,
20240312,2024-03-12,2024,3,12,False,False,
20240313,2024-03-13,2024,3,13,False,False,
20240314,2024-03-14,2024,3,14,False,False,
20240315,2024-03-15,2024,3,15,False,False,
20240316,2024-03-16,2024,3,16,True,False,
20240317,2024-03-17,2024,3,17,True,False,
20240318,2024-03-18,2024,3,18,False,False,
20240319,2024-03-19,2024,3,19,False,False,
20240320,2024-03-20,2024,3,20,False,False,
20240321,2024-03-21,2024,3,21,False,False,
20240322,2024-03-22,2024,3,22,False,False,
20240323,2024-03-23,2024,3,23,True,False,
20240324,2024-03-24,2024,3,24,True,False,
20240325,2024-03-25,2024,3,25,False,False,
20240326,2024-03-26,2024,3,26,False,False,
20240327,2024-03-27,2024,3,27,False,False,
20240328,2024-03-28,2024,3,28,False,False,
20240329,2024-03-29,2024,3,29,False,False,
20240330,2024-03-30,2024,3,30,True,False,
20240331,2024-03-31,2024,3,31,True,False,
20240401,2024-04-01,2024,4,1,False,False,
20240402,2024-04-02,2024,4,2,False,False,
20240403,2024-04-03,2024,4,3,False,False,
20240404,2024-04-04,2024,4,4,False,False,
20240405,2024-04-05,2024,4,5,False,False,
20240406,2024-04-06,2024,4,6,True,False,
20240407,2024-04-07,2024,4,7,True,False,
20240408,2024-04-08,2024,4,8,False,False,
20240409,2024-04-09,2024,4,9,False,False,
20240410,2024-04-10,2024,4,10,False,False,
20240411,2024-04-11,2024,4,11,False,False,
20240412,2024-04-12,2024,4,12,False,False,
20240413,2024-04-13,2024,4,13,True,False,
20240414,2024-04-14,2024,4,14,True,False,
20240415,2024-04-15,2024,4,15,False,False,
20240416,2024-04-16,2024,4,16,False,False,
20240417,2024-04-17,2024,4,17,False,False,
20240418,2024-04-18,2024,4,18,False,False,
20240419,2024-04-19,2024,4,19,False,False,
20240420,2024-04-20,2024,4,20,True,False,
20240421,2024-04-21,2024,4,21,True,False,
20240422,2024-04-22,2024,4,22,False,False,
20240423,2024-04-23,2024,4,23,False,False,
20240424,2024-04-24,2024,4,24,False,False,
20240425,2024-04-25,2024,4,25,False,False,
20240426,2024-04-26,2024,4,26,False,False,
20240427,2024-04-27,2024,4,27,True,False,
20240428,2024-04-28,2024,4,28,True,False,
20240429,2024-04-29,2024,4,29,False,False,
20240430,2024-04-30,2024,4,30,False,False,
20240501,2024-05-01,2024,5,1,False,False,
20240502,2024-05-02,2024,5,2,False,False,
20240503,2024-05-03,2024,5,3,False,False,
20240504,2024-05-04,2024,5,4,True,False,
20240505,2024-05-05,2024,5,5,True,False,
20240506,2024-05-06,2024,5,6,False,False,
20240507,2024-05-07,2024,5,7,False,False,
20240508,2024-05-08,2024,5,8,False,False,
20240509,2024-05-09,2024,5,9,False,False,
20240510,2024-05-10,2024,5,10,False,False,
20240511,2024-05-11,2024,5,11,True,False,
20240512,2024-05-12,2024,5,12,True,False,
20240513,2024-05-13,2024,5,13,False,False,
20240514,2024-05-14,2024,5,14,False,False,
20240515,2024-05-15,2024,5,15,False,False,
20240516,2024-05-16,2024,5,16,False,False,
20240517,2024-05-17,2024,5,17,False,False,
20240518,2024-05-18,2024,5,18,True,False,
20240519,2024-05-19,2024,5,19,True,False,
20240520,2024-05-20,2024,5,20,False,False,
20240521,2024-05-21,2024,5,21,False,False,
20240522,2024-05-22,2024,5,22,False,False,
20240523,2024-05-23,2024,5,23,False,False,
20240524,2024-05-24,2024,5,24,False,False,
20240525,2024-05-25,2024,5,25,True,False,
20240526,2024-05-26,2024,5,26,True,False,
20240527,2024-05-27,2024,5,27,False,False,
20240528,2024-05-28,2024,5,28,False,False,
20240529,2024-05-29,2024,5,29,False,False,
20240530,2024-05-30,2024,5,30,False,False,
20240531,2024-05-31,2024,5,31,False,False,
20240601,2024-06-01,2024,6,1,True,False,
20240602,2024-06-02,2024,6,2,True,False,
20240603,2024-06-03,2024,6,3,False,False,
20240604,2024-06-04,2024,6,4,False,False,
20240605,2024-06-05,2024,6,5,False,False,
20240606,2024-06-06,2024,6,6,False,False,
20240607,2024-06-07,2024,6,7,False,False,
20240608,2024-06-08,2024,6,8,True,False,
20240609,2024-06-09,2024,6,9,True,False,
20240610,2024-06-10,2024,6,10,False,False,
20240611,2024-06-11,2024,6,11,False,False,
20240612,2024-06-12,2024,6,12,False,False,
20240613,2024-06-13,2024,6,13,False,False,
20240614,2024-06-14,2024,6,14,False,False,
20240615,2024-06-15,2024,6,15,True,False,
20240616,2024-06-16,2024,6,16,True,False,
20240617,2024-06-17,2024,6,17,False,False,
20240618,2024-06-18,2024,6,18,False,False,
20240619,2024-06-19,2024,6,19,False,False,
20240620,2024-06-20,2024,6,20,False,False,
20240621,2024-06-21,2024,6,21,False,False,
20240622,2024-06-22,2024,6,22,True,False,
20240623,2024-06-23,2024,6,23,True,False,
20240624,2024-06-24,2024,6,24,False,False,
20240625,2024-06-25,2024,6,25,False,False,
20240626,2024-06-26,2024,6,26,False,False,
20240627,2024-06-27,2024,6,27,False,False,
20240628,2024-06-28,2024,6,28,False,False,
20240629,2024-06-29,2024,6,29,True,False,
20240630,2024-06-30,2024,6,30,True,False,
20240701,2024-07-01,2024,7,1,False,False,
20240702,2024-07-02,2024,7,2,False,False,
20240703,2024-07-03,2024,7,3,False,False,
20240704,2024-07-04,2024,7,4,False,False,
20240705,2024-07-05,2024,7,5,False,False,
20240706,2024-07-06,2024,7,6,True,False,
20240707,2024-07-07,2024,7,7,True,False,
20240708,2024-07-08,2024,7,8,False,False,
20240709,2024-07-09,2024,7,9,False,False,
20240710,2024-07-10,2024,7,10,False,False,
20240711,2024-07-11,2024,7,11,False,False,
20240712,2024-07-12,2024,7,12,False,False,
20240713,2024-07-13,2024,7,13,True,False,
20240714,2024-07-14,2024,7,14,True,False,
20240715,2024-07-15,2024,7,15,False,False,
20240716,2024-07-16,2024,7,16,False,False,
20240717,2024-07-17,2024,7,17,False,False,
20240718,2024-07-18,2024,7,18,False,False,
