date,year,month,day,day_type,daily_revenue,transaction_count,avg_transaction_value,total_units_sold
2024-01-25,2024,1,25,Weekday,8318879.0,406,20489.84975369458,1193
2024-01-24,2024,1,24,Weekday,9677432.0,417,23207.270983213428,1304
2024-01-23,2024,1,23,Weekday,9771174.0,468,20878.576923076922,1396
2024-01-22,2024,1,22,Weekday,10356863.0,440,23538.325,1312
2024-01-21,2024,1,21,Weekend,13115095.0,550,23845.627272727274,1637
2024-01-20,2024,1,20,Weekend,14633135.0,553,26461.36528028933,1697
2024-01-19,2024,1,19,Weekday,9317346.0,463,20123.85745140389,1353
2024-01-18,2024,1,18,Weekday,9058764.0,412,21987.29126213592,1245
2024-01-17,2024,1,17,Weekday,9772171.0,436,22413.23623853211,1305
2024-01-16,2024,1,16,Weekday,9442430.0,471,20047.622080679404,1421
2024-01-15,2024,1,15,Weekday,10675614.0,459,23258.418300653593,1426
2024-01-14,2024,1,14,Weekend,13843111.0,587,23582.812606473595,1790
2024-01-13,2024,1,13,Weekend,13665532.0,548,24937.10218978102,1618
2024-01-12,2024,1,12,Weekday,9012386.0,436,20670.610091743118,1308
2024-01-11,2024,1,11,Weekday,10857905.0,451,24075.177383592018,1326
2024-01-10,2024,1,10,Weekday,8633400.0,416,20753.365384615383,1208
2024-01-09,2024,1,9,Weekday,9828026.0,466,21090.18454935622,1349
2024-01-08,2024,1,8,Weekday,10154230.0,414,24527.125603864733,1264
2024-01-07,2024,1,7,Weekend,13492473.0,562,24007.959074733095,1695
2024-01-06,2024,1,6,Weekend,12378169.0,534,23180.091760299627,1592
2024-01-05,2024,1,5,Weekday,9660104.0,459,21045.978213507624,1381
2024-01-04,2024,1,4,Weekday,8382447.0,399,21008.639097744363,1209
2024-01-03,2024,1,3,Weekday,10070962.0,459,21941.093681917213,1360
2024-01-02,2024,1,2,Weekday,8966380.0,395,22699.696202531646,1166
2024-01-01,2024,1,1,Weekday,10068675.0,449,22424.66592427617,1342
