product_id,product_name,category,total_sold,days_sold,avg_daily_sales,movement_category
P0141,Home & Kitchen Item 141,Home & Kitchen,607,113,5.371681415929204,Medium Moving
P0350,Grocery Item 350,Grocery,612,114,5.368421052631579,Medium Moving
P0237,Electronics Item 237,Electronics,589,110,5.3545454545454545,Medium Moving
P0179,Grocery Item 179,Grocery,605,113,5.353982300884955,Medium Moving
P0450,Electronics Item 450,Electronics,545,102,5.3431372549019605,Medium Moving
P0040,Grocery Item 40,Grocery,577,108,5.342592592592593,Medium Moving
P0300,Grocery Item 300,Grocery,577,108,5.342592592592593,Medium Moving
P0258,Electronics Item 258,Electronics,614,115,5.339130434782609,Medium Moving
P0025,Personal Care Item 25,Personal Care,630,118,5.338983050847458,Medium Moving
P0001,Grocery Item 1,Grocery,683,128,5.3359375,Medium Moving
P0079,Apparel Item 79,Apparel,560,105,5.333333333333333,Medium Moving
P0465,Electronics Item 465,Electronics,613,115,5.3304347826086955,Medium Moving
P0366,Electronics Item 366,Electronics,613,115,5.3304347826086955,Medium Moving
P0093,Grocery Item 93,Grocery,613,115,5.3304347826086955,Medium Moving
P0016,Grocery Item 16,Grocery,597,112,5.330357142857143,Medium Moving
P0046,Electronics Item 46,Electronics,565,106,5.330188679245283,Medium Moving
P0311,Home & Kitchen Item 311,Home & Kitchen,607,114,5.324561403508772,Medium Moving
P0167,Electronics Item 167,Electronics,543,102,5.323529411764706,Medium Moving
P0127,Apparel Item 127,Apparel,644,121,5.322314049586777,Medium Moving
P0247,Personal Care Item 247,Personal Care,612,115,5.321739130434783,Medium Moving
P0241,Apparel Item 241,Apparel,670,126,5.317460317460317,Medium Moving
P0201,Electronics Item 201,Electronics,606,114,5.315789473684211,Medium Moving
P0495,Personal Care Item 495,Personal Care,590,111,5.315315315315315,Medium Moving
P0072,Grocery Item 72,Grocery,627,118,5.313559322033898,Medium Moving
P0344,Electronics Item 344,Electronics,595,112,5.3125,Medium Moving
P0056,Electronics Item 56,Electronics,579,109,5.3119266055045875,Medium Moving
P0297,Grocery Item 297,Grocery,621,117,5.3076923076923075,Medium Moving
P0477,Electronics Item 477,Electronics,674,127,5.307086614173229,Medium Moving
P0234,Grocery Item 234,Grocery,642,121,5.305785123966942,Medium Moving
P0259,Electronics Item 259,Electronics,610,115,5.304347826086956,Medium Moving
P0492,Personal Care Item 492,Personal Care,594,112,5.303571428571429,Medium Moving
P0307,Electronics Item 307,Electronics,631,119,5.302521008403361,Medium Moving
P0313,Home & Kitchen Item 313,Home & Kitchen,631,119,5.302521008403361,Medium Moving
P0380,Home & Kitchen Item 380,Home & Kitchen,652,123,5.300813008130081,Medium Moving
P0330,Electronics Item 330,Electronics,689,130,5.3,Medium Moving
P0177,Grocery Item 177,Grocery,636,120,5.3,Medium Moving
P0041,Electronics Item 41,Electronics,535,101,5.297029702970297,Medium Moving
P0100,Apparel Item 100,Apparel,630,119,5.294117647058823,Medium Moving
P0333,Electronics Item 333,Electronics,672,127,5.291338582677166,Medium Moving
P0087,Personal Care Item 87,Personal Care,603,114,5.2894736842105265,Medium Moving
P0171,Personal Care Item 171,Personal Care,624,118,5.288135593220339,Medium Moving
P0017,Grocery Item 17,Grocery,661,125,5.288,Medium Moving
P0427,Apparel Item 427,Apparel,608,115,5.28695652173913,Medium Moving
P0203,Apparel Item 203,Apparel,581,110,5.281818181818182,Medium Moving
P0236,Home & Kitchen Item 236,Home & Kitchen,607,115,5.278260869565218,Medium Moving
P0094,Personal Care Item 94,Personal Care,612,116,5.275862068965517,Medium Moving
P0359,Apparel Item 359,Apparel,633,120,5.275,Medium Moving
P0276,Electronics Item 276,Electronics,617,117,5.273504273504273,Medium Moving
P0327,Apparel Item 327,Apparel,638,121,5.2727272727272725,Medium Moving
P0435,Home & Kitchen Item 435,Home & Kitchen,622,118,5.271186440677966,Medium Moving
P0005,Apparel Item 5,Apparel,622,118,5.271186440677966,Medium Moving
P0312,Electronics Item 312,Electronics,648,123,5.2682926829268295,Medium Moving
P0409,Electronics Item 409,Electronics,648,123,5.2682926829268295,Medium Moving
P0474,Personal Care Item 474,Personal Care,590,112,5.267857142857143,Medium Moving
P0108,Electronics Item 108,Electronics,690,131,5.267175572519084,Medium Moving
P0273,Grocery Item 273,Grocery,674,128,5.265625,Medium Moving
P0291,Electronics Item 291,Electronics,616,117,5.264957264957265,Medium Moving
P0272,Personal Care Item 272,Personal Care,537,102,5.264705882352941,Medium Moving
P0022,Personal Care Item 22,Personal Care,584,111,5.261261261261262,Medium Moving
P0293,Home & Kitchen Item 293,Home & Kitchen,626,119,5.260504201680672,Medium Moving
P0126,Home & Kitchen Item 126,Home & Kitchen,652,124,5.258064516129032,Medium Moving
P0418,Apparel Item 418,Apparel,552,105,5.257142857142857,Medium Moving
P0002,Home & Kitchen Item 2,Home & Kitchen,573,109,5.256880733944954,Medium Moving
P0310,Electronics Item 310,Electronics,662,126,5.253968253968254,Medium Moving
P0213,Grocery Item 213,Grocery,583,111,5.252252252252252,Medium Moving
P0119,Apparel Item 119,Apparel,646,123,5.252032520325203,Medium Moving
P0283,Grocery Item 283,Grocery,693,132,5.25,Medium Moving
P0024,Home & Kitchen Item 24,Home & Kitchen,650,124,5.241935483870968,Medium Moving
P0129,Personal Care Item 129,Personal Care,524,100,5.24,Medium Moving
P0305,Home & Kitchen Item 305,Home & Kitchen,613,117,5.239316239316239,Medium Moving
P0202,Personal Care Item 202,Personal Care,592,113,5.238938053097345,Medium Moving
P0027,Personal Care Item 27,Personal Care,597,114,5.2368421052631575,Medium Moving
P0187,Personal Care Item 187,Personal Care,628,120,5.233333333333333,Medium Moving
P0158,Apparel Item 158,Apparel,596,114,5.228070175438597,Medium Moving
P0217,Personal Care Item 217,Personal Care,606,116,5.224137931034483,Medium Moving
P0066,Electronics Item 66,Electronics,637,122,5.221311475409836,Medium Moving
P0437,Grocery Item 437,Grocery,590,113,5.221238938053097,Medium Moving
P0382,Personal Care Item 382,Personal Care,590,113,5.221238938053097,Medium Moving
P0054,Grocery Item 54,Grocery,590,113,5.221238938053097,Medium Moving
P0470,Electronics Item 470,Electronics,595,114,5.219298245614035,Medium Moving
P0147,Apparel Item 147,Apparel,595,114,5.219298245614035,Medium Moving
P0308,Apparel Item 308,Apparel,605,116,5.2155172413793105,Medium Moving
P0484,Electronics Item 484,Electronics,589,113,5.212389380530974,Medium Moving
P0491,Apparel Item 491,Apparel,645,124,5.201612903225806,Medium Moving
P0496,Personal Care Item 496,Personal Care,624,120,5.2,Medium Moving
P0099,Grocery Item 99,Grocery,608,117,5.196581196581197,Medium Moving
P0396,Apparel Item 396,Apparel,665,128,5.1953125,Medium Moving
P0287,Electronics Item 287,Electronics,633,122,5.188524590163935,Medium Moving
P0045,Personal Care Item 45,Personal Care,581,112,5.1875,Medium Moving
P0232,Home & Kitchen Item 232,Home & Kitchen,581,112,5.1875,Medium Moving
P0422,Home & Kitchen Item 422,Home & Kitchen,534,103,5.184466019417476,Medium Moving
P0436,Home & Kitchen Item 436,Home & Kitchen,622,120,5.183333333333334,Medium Moving
P0406,Electronics Item 406,Electronics,596,115,5.182608695652174,Medium Moving
P0377,Grocery Item 377,Grocery,627,121,5.181818181818182,Medium Moving
P0221,Apparel Item 221,Apparel,570,110,5.181818181818182,Medium Moving
P0410,Home & Kitchen Item 410,Home & Kitchen,616,119,5.176470588235294,Medium Moving
P0277,Home & Kitchen Item 277,Home & Kitchen,626,121,5.1735537190082646,Medium Moving
P0430,Grocery Item 430,Grocery,600,116,5.172413793103448,Medium Moving
P0230,Home & Kitchen Item 230,Home & Kitchen,605,117,5.170940170940171,Medium Moving
P0482,Electronics Item 482,Electronics,605,117,5.170940170940171,Medium Moving
P0255,Grocery Item 255,Grocery,553,107,5.168224299065421,Medium Moving
P0188,Electronics Item 188,Electronics,584,113,5.168141592920354,Medium Moving
P0424,Home & Kitchen Item 424,Home & Kitchen,537,104,5.163461538461538,Medium Moving
P0042,Grocery Item 42,Grocery,547,106,5.160377358490566,Medium Moving
P0279,Electronics Item 279,Electronics,562,109,5.155963302752293,Medium Moving
P0192,Grocery Item 192,Grocery,608,118,5.1525423728813555,Medium Moving
P0400,Electronics Item 400,Electronics,608,118,5.1525423728813555,Medium Moving
P0317,Grocery Item 317,Grocery,644,125,5.152,Medium Moving
P0242,Grocery Item 242,Grocery,577,112,5.151785714285714,Medium Moving
P0245,Personal Care Item 245,Personal Care,618,120,5.15,Medium Moving
P0385,Electronics Item 385,Electronics,551,107,5.149532710280374,Medium Moving
P0461,Electronics Item 461,Electronics,556,108,5.148148148148148,Medium Moving
P0140,Apparel Item 140,Apparel,525,102,5.147058823529412,Medium Moving
P0191,Apparel Item 191,Apparel,561,109,5.146788990825688,Medium Moving
P0419,Home & Kitchen Item 419,Home & Kitchen,597,116,5.146551724137931,Medium Moving
P0332,Apparel Item 332,Apparel,633,123,5.146341463414634,Medium Moving
P0185,Electronics Item 185,Electronics,607,118,5.1440677966101696,Medium Moving
P0078,Apparel Item 78,Apparel,612,119,5.142857142857143,Medium Moving
P0170,Apparel Item 170,Apparel,575,112,5.133928571428571,Medium Moving
P0319,Grocery Item 319,Grocery,590,115,5.130434782608695,Medium Moving
P0076,Apparel Item 76,Apparel,595,116,5.129310344827586,Medium Moving
P0145,Electronics Item 145,Electronics,636,124,5.129032258064516,Medium Moving
P0348,Personal Care Item 348,Personal Care,559,109,5.128440366972477,Medium Moving
P0009,Personal Care Item 9,Personal Care,600,117,5.128205128205129,Medium Moving
P0233,Electronics Item 233,Electronics,600,117,5.128205128205129,Medium Moving
P0494,Home & Kitchen Item 494,Home & Kitchen,564,110,5.127272727272727,Medium Moving
P0323,Personal Care Item 323,Personal Care,569,111,5.126126126126126,Medium Moving
P0069,Electronics Item 69,Electronics,615,120,5.125,Medium Moving
P0252,Grocery Item 252,Grocery,574,112,5.125,Medium Moving
P0207,Apparel Item 207,Apparel,620,121,5.12396694214876,Medium Moving
P0055,Personal Care Item 55,Personal Care,579,113,5.123893805309734,Medium Moving
P0206,Electronics Item 206,Electronics,579,113,5.123893805309734,Medium Moving
P0036,Home & Kitchen Item 36,Home & Kitchen,625,122,5.122950819672131,Medium Moving
P0225,Home & Kitchen Item 225,Home & Kitchen,594,116,5.120689655172414,Medium Moving
P0156,Electronics Item 156,Electronics,604,118,5.11864406779661,Medium Moving
P0395,Grocery Item 395,Grocery,563,110,5.118181818181818,Medium Moving
P0318,Apparel Item 318,Apparel,609,119,5.117647058823529,Medium Moving
P0044,Apparel Item 44,Apparel,619,121,5.115702479338843,Medium Moving
P0136,Electronics Item 136,Electronics,567,111,5.108108108108108,Medium Moving
P0048,Grocery Item 48,Grocery,592,116,5.103448275862069,Medium Moving
P0413,Personal Care Item 413,Personal Care,546,107,5.102803738317757,Medium Moving
P0113,Apparel Item 113,Apparel,546,107,5.102803738317757,Medium Moving
P0383,Apparel Item 383,Apparel,602,118,5.101694915254237,Medium Moving
P0183,Personal Care Item 183,Personal Care,658,129,5.10077519379845,Medium Moving
P0117,Home & Kitchen Item 117,Home & Kitchen,576,113,5.097345132743363,Medium Moving
P0133,Grocery Item 133,Grocery,586,115,5.095652173913043,Medium Moving
P0060,Grocery Item 60,Grocery,596,117,5.094017094017094,Medium Moving
P0051,Personal Care Item 51,Personal Care,677,133,5.090225563909774,Medium Moving
P0388,Grocery Item 388,Grocery,585,115,5.086956521739131,Medium Moving
P0282,Personal Care Item 282,Personal Care,590,116,5.086206896551724,Medium Moving
P0476,Home & Kitchen Item 476,Home & Kitchen,651,128,5.0859375,Medium Moving
P0021,Personal Care Item 21,Personal Care,605,119,5.084033613445378,Medium Moving
P0257,Electronics Item 257,Electronics,610,120,5.083333333333333,Medium Moving
P0341,Electronics Item 341,Electronics,625,123,5.08130081300813,Medium Moving
P0463,Grocery Item 463,Grocery,579,114,5.078947368421052,Medium Moving
P0411,Home & Kitchen Item 411,Home & Kitchen,533,105,5.076190476190476,Medium Moving
P0271,Grocery Item 271,Grocery,604,119,5.07563025210084,Medium Moving
P0229,Grocery Item 229,Grocery,619,122,5.073770491803279,Medium Moving
P0248,Personal Care Item 248,Personal Care,563,111,5.072072072072072,Medium Moving
P0369,Personal Care Item 369,Personal Care,634,125,5.072,Medium Moving
P0033,Apparel Item 33,Apparel,568,112,5.071428571428571,Medium Moving
P0394,Personal Care Item 394,Personal Care,588,116,5.068965517241379,Medium Moving
P0361,Grocery Item 361,Grocery,628,124,5.064516129032258,Medium Moving
P0111,Electronics Item 111,Electronics,592,117,5.05982905982906,Medium Moving
P0082,Personal Care Item 82,Personal Care,597,118,5.059322033898305,Medium Moving
P0325,Personal Care Item 325,Personal Care,597,118,5.059322033898305,Medium Moving
P0052,Personal Care Item 52,Personal Care,602,119,5.0588235294117645,Medium Moving
P0125,Grocery Item 125,Grocery,556,110,5.054545454545455,Medium Moving
P0197,Personal Care Item 197,Personal Care,581,115,5.052173913043478,Medium Moving
P0362,Apparel Item 362,Apparel,606,120,5.05,Medium Moving
P0324,Home & Kitchen Item 324,Home & Kitchen,606,120,5.05,Medium Moving
P0466,Electronics Item 466,Electronics,616,122,5.049180327868853,Medium Moving
P0415,Apparel Item 415,Apparel,550,109,5.045871559633028,Medium Moving
P0263,Electronics Item 263,Electronics,555,110,5.045454545454546,Medium Moving
P0351,Apparel Item 351,Apparel,570,113,5.04424778761062,Medium Moving
P0102,Apparel Item 102,Apparel,570,113,5.04424778761062,Medium Moving
P0346,Home & Kitchen Item 346,Home & Kitchen,590,117,5.042735042735043,Medium Moving
P0455,Electronics Item 455,Electronics,595,118,5.0423728813559325,Medium Moving
P0029,Grocery Item 29,Grocery,595,118,5.0423728813559325,Medium Moving
P0374,Home & Kitchen Item 374,Home & Kitchen,600,119,5.042016806722689,Medium Moving
P0131,Electronics Item 131,Electronics,600,119,5.042016806722689,Medium Moving
P0034,Home & Kitchen Item 34,Home & Kitchen,610,121,5.041322314049586,Medium Moving
P0331,Grocery Item 331,Grocery,625,124,5.040322580645161,Medium Moving
P0228,Apparel Item 228,Apparel,584,116,5.0344827586206895,Medium Moving
P0289,Electronics Item 289,Electronics,584,116,5.0344827586206895,Medium Moving
P0399,Grocery Item 399,Grocery,584,116,5.0344827586206895,Medium Moving
P0019,Home & Kitchen Item 19,Home & Kitchen,594,118,5.033898305084746,Medium Moving
P0270,Personal Care Item 270,Personal Care,594,118,5.033898305084746,Medium Moving
P0378,Grocery Item 378,Grocery,513,102,5.029411764705882,Medium Moving
P0106,Home & Kitchen Item 106,Home & Kitchen,558,111,5.027027027027027,Medium Moving
P0124,Home & Kitchen Item 124,Home & Kitchen,583,116,5.025862068965517,Medium Moving
P0379,Electronics Item 379,Electronics,588,117,5.0256410256410255,Medium Moving
P0189,Personal Care Item 189,Personal Care,608,121,5.024793388429752,Medium Moving
P0196,Grocery Item 196,Grocery,623,124,5.024193548387097,Medium Moving
P0302,Personal Care Item 302,Personal Care,552,110,5.0181818181818185,Medium Moving
P0416,Apparel Item 416,Apparel,572,114,5.017543859649122,Medium Moving
P0386,Home & Kitchen Item 386,Home & Kitchen,577,115,5.017391304347826,Medium Moving
P0142,Grocery Item 142,Grocery,602,120,5.016666666666667,Medium Moving
P0151,Grocery Item 151,Grocery,561,112,5.008928571428571,Medium Moving
P0417,Home & Kitchen Item 417,Home & Kitchen,571,114,5.008771929824562,Medium Moving
P0360,Personal Care Item 360,Personal Care,571,114,5.008771929824562,Medium Moving
P0321,Grocery Item 321,Grocery,576,115,5.008695652173913,Medium Moving
P0107,Apparel Item 107,Apparel,591,118,5.008474576271187,Medium Moving
P0032,Electronics Item 32,Electronics,626,125,5.008,Medium Moving
P0143,Home & Kitchen Item 143,Home & Kitchen,605,121,5.0,Medium Moving
P0481,Personal Care Item 481,Personal Care,570,114,5.0,Medium Moving
P0391,Apparel Item 391,Apparel,540,108,5.0,Medium Moving
P0083,Personal Care Item 83,Personal Care,580,116,5.0,Medium Moving
P0105,Electronics Item 105,Electronics,605,121,5.0,Medium Moving
P0121,Grocery Item 121,Grocery,615,123,5.0,Medium Moving
P0137,Home & Kitchen Item 137,Home & Kitchen,630,126,5.0,Medium Moving
P0497,Grocery Item 497,Grocery,624,125,4.992,Medium Moving
P0468,Personal Care Item 468,Personal Care,614,123,4.991869918699187,Medium Moving
P0249,Home & Kitchen Item 249,Home & Kitchen,584,117,4.9914529914529915,Medium Moving
P0265,Apparel Item 265,Apparel,584,117,4.9914529914529915,Medium Moving
P0150,Grocery Item 150,Grocery,544,109,4.990825688073395,Medium Moving
P0286,Electronics Item 286,Electronics,598,120,4.983333333333333,Medium Moving
P0425,Home & Kitchen Item 425,Home & Kitchen,558,112,4.982142857142857,Medium Moving
P0371,Grocery Item 371,Grocery,607,122,4.975409836065574,Medium Moving
P0453,Personal Care Item 453,Personal Care,587,118,4.97457627118644,Medium Moving
P0000,Grocery Item 0,Grocery,557,112,4.973214285714286,Medium Moving
P0059,Personal Care Item 59,Personal Care,547,110,4.972727272727273,Medium Moving
P0166,Apparel Item 166,Apparel,547,110,4.972727272727273,Medium Moving
P0478,Electronics Item 478,Electronics,537,108,4.972222222222222,Medium Moving
P0354,Apparel Item 354,Apparel,601,121,4.966942148760331,Medium Moving
P0299,Grocery Item 299,Grocery,596,120,4.966666666666667,Medium Moving
P0068,Electronics Item 68,Electronics,591,119,4.966386554621849,Medium Moving
P0428,Electronics Item 428,Electronics,591,119,4.966386554621849,Medium Moving
P0075,Grocery Item 75,Grocery,586,118,4.966101694915254,Medium Moving
P0433,Personal Care Item 433,Personal Care,581,117,4.965811965811966,Medium Moving
P0199,Grocery Item 199,Grocery,571,115,4.965217391304348,Medium Moving
P0426,Electronics Item 426,Electronics,551,111,4.963963963963964,Medium Moving
P0459,Personal Care Item 459,Personal Care,546,110,4.963636363636364,Medium Moving
P0173,Electronics Item 173,Electronics,531,107,4.962616822429907,Medium Moving
P0473,Home & Kitchen Item 473,Home & Kitchen,511,103,4.961165048543689,Medium Moving
P0274,Grocery Item 274,Grocery,496,100,4.96,Medium Moving
P0122,Apparel Item 122,Apparel,605,122,4.959016393442623,Medium Moving
P0195,Home & Kitchen Item 195,Home & Kitchen,580,117,4.957264957264957,Medium Moving
P0292,Home & Kitchen Item 292,Home & Kitchen,575,116,4.956896551724138,Medium Moving
P0112,Electronics Item 112,Electronics,565,114,4.956140350877193,Medium Moving
P0227,Electronics Item 227,Electronics,565,114,4.956140350877193,Medium Moving
P0096,Personal Care Item 96,Personal Care,560,113,4.95575221238938,Medium Moving
P0444,Grocery Item 444,Grocery,609,123,4.951219512195122,Medium Moving
P0104,Apparel Item 104,Apparel,609,123,4.951219512195122,Medium Moving
P0266,Apparel Item 266,Apparel,604,122,4.950819672131147,Medium Moving
P0012,Electronics Item 12,Electronics,589,119,4.949579831932773,Medium Moving
P0026,Grocery Item 26,Grocery,579,117,4.948717948717949,Medium Moving
P0392,Grocery Item 392,Grocery,569,115,4.947826086956522,Medium Moving
P0485,Apparel Item 485,Apparel,549,111,4.945945945945946,Medium Moving
P0389,Personal Care Item 389,Personal Care,519,105,4.942857142857143,Medium Moving
P0064,Grocery Item 64,Grocery,593,120,4.941666666666666,Medium Moving
P0405,Personal Care Item 405,Personal Care,573,116,4.939655172413793,Medium Moving
P0349,Electronics Item 349,Electronics,568,115,4.939130434782609,Medium Moving
P0154,Home & Kitchen Item 154,Home & Kitchen,538,109,4.935779816513762,Medium Moving
P0182,Electronics Item 182,Electronics,592,120,4.933333333333334,Medium Moving
P0403,Grocery Item 403,Grocery,587,119,4.932773109243698,Medium Moving
P0285,Grocery Item 285,Grocery,587,119,4.932773109243698,Medium Moving
P0080,Apparel Item 80,Apparel,567,115,4.930434782608696,Medium Moving
P0334,Electronics Item 334,Electronics,567,115,4.930434782608696,Medium Moving
P0442,Apparel Item 442,Apparel,517,105,4.923809523809524,Medium Moving
P0071,Personal Care Item 71,Personal Care,630,128,4.921875,Medium Moving
P0135,Home & Kitchen Item 135,Home & Kitchen,566,115,4.921739130434783,Medium Moving
P0475,Electronics Item 475,Electronics,620,126,4.920634920634921,Medium Moving
P0222,Apparel Item 222,Apparel,620,126,4.920634920634921,Medium Moving
P0337,Apparel Item 337,Apparel,600,122,4.918032786885246,Medium Moving
P0244,Personal Care Item 244,Personal Care,600,122,4.918032786885246,Medium Moving
P0353,Apparel Item 353,Apparel,585,119,4.915966386554622,Medium Moving
