shipment_id,transaction_id,ship_date,delivery_date,status,courier
SHP72492,TXN00034345,2024-02-18,2024-02-20,Delivered,Shadowfax
SHP20706,TXN00021256,2024-03-17,2024-03-19,Delivered,Shadowfax
SHP84879,TXN00050904,2024-03-28,2024-03-29,Delivered,Delhivery
SHP49405,TXN00034558,2024-05-10,2024-05-19,Delivered,EcomExpress
SHP69303,TXN00025999,2024-05-12,2024-05-13,Delivered,BlueDart
SHP60036,TXN00010848,2024-06-19,2024-06-27,Delivered,Shadowfax
SHP11868,TXN00094677,2024-01-09,2024-01-14,Delivered,BlueDart
SHP39394,TXN00010072,2024-04-16,2024-04-21,Delivered,BlueDart
SHP47901,TXN00000419,2024-05-11,2024-05-14,Delivered,Delhivery
SHP41609,TXN00078433,2024-02-06,2024-02-13,Delivered,BlueDart
SHP63930,TXN00012196,2024-05-22,2024-05-30,Delivered,EcomExpress
SHP57342,TXN00060170,2024-05-05,2024-05-15,Delivered,Shadowfax
SHP42322,TXN00081094,2024-03-23,2024-04-01,Delivered,Shadowfax
SHP20330,TXN00073364,2024-06-19,2024-06-29,Delivered,BlueDart
SHP84062,TXN00052400,2024-06-21,2024-06-30,Delivered,Shadowfax
SHP11756,TXN00032952,2024-06-18,2024-06-23,Delivered,EcomExpress
SHP15073,TXN00056425,2024-01-02,2024-01-09,Delivered,EcomExpress
SHP78876,TXN00036032,2024-01-02,2024-01-04,Delivered,Shadowfax
SHP78400,TXN00041658,2024-03-17,2024-03-20,Delivered,Delhivery
SHP49825,TXN00040198,2024-03-27,2024-03-31,Delivered,Delhivery
SHP29847,TXN00061509,2024-04-05,2024-04-11,Delivered,Shadowfax
SHP30590,TXN00089115,2024-03-03,2024-03-10,Delivered,Delhivery
SHP54904,TXN00063150,2024-02-25,2024-03-04,Delivered,BlueDart
SHP65922,TXN00019563,2024-02-10,2024-02-16,Delivered,Shadowfax
SHP77776,TXN00002552,2024-05-22,2024-05-30,Delivered,Shadowfax
SHP20004,TXN00081548,2024-06-17,2024-06-20,Delivered,Delhivery
SHP30020,TXN00070370,2024-04-08,2024-04-16,Delivered,Delhivery
SHP59792,TXN00013851,2024-04-11,2024-04-16,Delivered,Delhivery
SHP83378,TXN00044189,2024-06-02,2024-06-07,Delivered,BlueDart
SHP48976,TXN00084548,2024-04-15,2024-04-20,Delivered,Shadowfax
SHP44692,TXN00079074,2024-01-31,2024-02-08,Delivered,BlueDart
SHP88649,TXN00053917,2024-04-06,2024-04-07,Delivered,Delhivery
SHP40477,TXN00046189,2024-03-26,2024-04-02,Delivered,EcomExpress
SHP92874,TXN00074445,2024-03-10,2024-03-13,Delivered,EcomExpress
SHP81267,TXN00097590,2024-02-25,2024-03-01,Delivered,BlueDart
SHP57447,TXN00021736,2024-03-11,2024-03-15,Delivered,Shadowfax
SHP25566,TXN00099112,2024-01-04,2024-01-05,Delivered,Shadowfax
SHP91030,TXN00019558,2024-05-09,2024-05-13,Delivered,EcomExpress
SHP44703,TXN00016202,2024-02-18,2024-02-27,Delivered,Shadowfax
SHP59184,TXN00073989,2024-03-31,2024-04-01,Delivered,BlueDart
SHP61064,TXN00026500,2024-03-22,2024-03-25,Delivered,Shadowfax
SHP69137,TXN00052404,2024-03-25,2024-03-26,Delivered,Shadowfax
SHP68347,TXN00045034,2024-02-05,2024-02-12,Delivered,Shadowfax
SHP67554,TXN00032229,2024-02-26,2024-02-27,Delivered,BlueDart
SHP63881,TXN00038230,2024-01-08,2024-01-18,Delivered,EcomExpress
SHP27214,TXN00041944,2024-03-22,2024-03-23,Delivered,Delhivery
SHP40715,TXN00033478,2024-03-22,2024-04-01,Delivered,Delhivery
SHP68677,TXN00046069,2024-01-15,2024-01-21,Delivered,Shadowfax
SHP64575,TXN00054245,2024-05-07,2024-05-09,Delivered,BlueDart
SHP58915,TXN00046968,2024-03-07,2024-03-11,Delivered,BlueDart
SHP86896,TXN00051093,2024-06-08,2024-06-17,Delivered,Shadowfax
SHP46279,TXN00054031,2024-03-28,2024-04-07,Delivered,BlueDart
SHP62017,TXN00056162,2024-04-30,2024-05-01,Delivered,Delhivery
SHP36234,TXN00012404,2024-07-01,2024-07-11,Delivered,EcomExpress
SHP64575,TXN00046559,2024-06-02,2024-06-10,Delivered,BlueDart
SHP76507,TXN00039093,2024-03-27,2024-04-05,Delivered,EcomExpress
SHP93349,TXN00081812,2024-01-14,2024-01-16,Delivered,Delhivery
SHP59521,TXN00020071,2024-02-03,2024-02-13,Delivered,EcomExpress
SHP29484,TXN00009337,2024-06-27,2024-07-07,Delivered,EcomExpress
SHP81417,TXN00040625,2024-06-08,2024-06-10,Delivered,Shadowfax
SHP20956,TXN00054532,2024-06-02,2024-06-11,Delivered,Shadowfax
SHP96949,TXN00091615,2024-03-17,2024-03-22,Delivered,EcomExpress
SHP95680,TXN00007152,2024-06-24,2024-06-29,Delivered,BlueDart
SHP53679,TXN00088191,2024-06-02,2024-06-05,Delivered,BlueDart
SHP15518,TXN00095956,2024-04-04,2024-04-13,Delivered,Delhivery
SHP15837,TXN00041242,2024-06-20,2024-06-21,Delivered,Shadowfax
SHP37156,TXN00078141,2024-06-11,2024-06-17,Delivered,BlueDart
SHP42729,TXN00035570,2024-05-18,2024-05-26,Delivered,BlueDart
SHP38417,TXN00026935,2024-05-01,2024-05-06,Delivered,EcomExpress
SHP75752,TXN00082287,2024-03-25,2024-04-04,Delivered,BlueDart
SHP99992,TXN00035290,2024-01-09,2024-01-12,Delivered,BlueDart
SHP26008,TXN00047519,2024-04-19,2024-04-29,Delivered,Delhivery
SHP84186,TXN00063083,2024-04-04,2024-04-13,Delivered,EcomExpress
SHP40115,TXN00092053,2024-06-03,2024-06-05,Delivered,Shadowfax
SHP12415,TXN00008750,2024-04-14,2024-04-19,Delivered,BlueDart
SHP64143,TXN00005326,2024-01-19,2024-01-22,Delivered,EcomExpress
SHP58194,TXN00013472,2024-02-23,2024-03-02,Delivered,EcomExpress
SHP91581,TXN00015468,2024-05-08,2024-05-10,Delivered,BlueDart
SHP37908,TXN00087043,2024-02-27,2024-02-29,Delivered,Shadowfax
SHP86318,TXN00064921,2024-02-02,2024-02-06,Delivered,EcomExpress
SHP45739,TXN00069315,2024-06-11,2024-06-13,Delivered,BlueDart
SHP35415,TXN00095851,2024-06-18,2024-06-27,Delivered,Shadowfax
SHP71017,TXN00017733,2024-03-29,2024-04-01,Delivered,Delhivery
SHP55139,TXN00083386,2024-04-29,2024-05-01,Delivered,Shadowfax
SHP34459,TXN00078248,2024-05-28,2024-06-05,Delivered,Shadowfax
SHP73527,TXN00039804,2024-02-26,2024-03-03,Delivered,EcomExpress
SHP23442,TXN00033106,2024-01-09,2024-01-14,Delivered,Shadowfax
SHP20297,TXN00059116,2024-03-29,2024-04-08,Delivered,Delhivery
SHP68682,TXN00073210,2024-06-17,2024-06-22,Delivered,EcomExpress
SHP33151,TXN00069993,2024-04-13,2024-04-15,Delivered,Delhivery
SHP97744,TXN00043934,2024-04-12,2024-04-15,Delivered,BlueDart
SHP96263,TXN00042504,2024-01-29,2024-02-07,Delivered,BlueDart
SHP64949,TXN00068730,2024-03-28,2024-03-31,Delivered,Delhivery
SHP13285,TXN00071354,2024-01-08,2024-01-15,Delivered,EcomExpress
SHP38712,TXN00092650,2024-01-28,2024-02-04,Delivered,Shadowfax
SHP38291,TXN00064807,2024-02-15,2024-02-16,Delivered,Delhivery
SHP65351,TXN00072866,2025-06-20,2025-06-23,Delivered,EcomExpress
SHP89751,TXN00000803,2024-04-14,2024-04-24,Delivered,BlueDart
SHP44582,TXN00084794,2024-04-09,2024-04-16,Delivered,Shadowfax
SHP36687,TXN00082411,2024-02-02,2024-02-05,Delivered,Shadowfax
SHP22932,TXN00063334,2024-05-19,2024-05-27,Delivered,EcomExpress
SHP50085,TXN00039140,2024-04-07,2024-04-14,Delivered,Shadowfax
SHP57089,TXN00019730,2024-03-31,2024-04-02,Delivered,BlueDart
SHP91666,TXN00033600,2024-06-27,2024-07-01,Delivered,EcomExpress
SHP23506,TXN00019472,2024-01-31,2024-02-10,Delivered,EcomExpress
SHP18886,TXN00073183,2024-03-26,2024-04-04,Delivered,EcomExpress
SHP54579,TXN00072062,2024-02-13,2024-02-14,Delivered,Delhivery
SHP73335,TXN00041387,2024-03-18,2024-03-24,Delivered,BlueDart
SHP56793,TXN00053985,2024-06-24,2024-06-26,Delivered,EcomExpress
SHP78745,TXN00055651,2024-01-22,2024-01-23,Delivered,EcomExpress
SHP88259,TXN00001605,2024-04-03,2024-04-12,Delivered,BlueDart
SHP22713,TXN00073116,2024-06-24,2024-06-30,Delivered,Shadowfax
SHP55602,TXN00081082,2024-06-26,2024-07-06,Delivered,EcomExpress
SHP19396,TXN00043503,2024-03-06,2024-03-16,Delivered,Shadowfax
SHP84529,TXN00053618,2024-01-04,2024-01-12,Delivered,EcomExpress
SHP55189,TXN00031964,2024-05-12,2024-05-19,Delivered,Shadowfax
SHP68404,TXN00075236,2024-04-15,2024-04-18,Delivered,Delhivery
SHP23835,TXN00060608,2024-01-03,2024-01-05,Delivered,Shadowfax
SHP95035,TXN00006998,2024-03-14,2024-03-16,Delivered,Shadowfax
SHP49718,TXN00012506,2024-04-22,2024-04-28,Delivered,BlueDart
SHP94220,TXN00064351,2024-06-09,2024-06-16,Delivered,EcomExpress
SHP66252,TXN00008600,2024-03-24,2024-04-03,Delivered,BlueDart
SHP50137,TXN00088826,2024-01-26,2024-01-29,Delivered,EcomExpress
SHP92537,TXN00071954,2024-05-31,2024-06-07,Delivered,EcomExpress
SHP50852,TXN00087216,2024-06-04,2024-06-07,Delivered,Delhivery
SHP93358,TXN00003929,2024-01-27,2024-01-31,Delivered,Shadowfax
SHP55772,TXN00089160,2024-03-28,2024-04-02,Delivered,Delhivery
SHP99984,TXN00031558,2024-03-03,2024-03-08,Delivered,Delhivery
SHP97692,TXN00078730,2024-07-01,2024-07-02,Delivered,EcomExpress
SHP53590,TXN00049363,2024-01-16,2024-01-20,Delivered,BlueDart
SHP82700,TXN00024800,2024-04-01,2024-04-06,Delivered,Delhivery
SHP71105,TXN00061308,2024-05-03,2024-05-09,Delivered,Delhivery
SHP50348,TXN00087164,2024-02-20,2024-02-24,Delivered,BlueDart
SHP96850,TXN00087385,2024-04-14,2024-04-19,Delivered,Shadowfax
SHP43933,TXN00007452,2024-02-27,2024-03-01,Delivered,EcomExpress
SHP64607,TXN00060905,2024-02-20,2024-02-29,Delivered,BlueDart
SHP37715,TXN00077738,2024-01-30,2024-02-07,Delivered,Shadowfax
SHP77586,TXN00048123,2024-01-14,2024-01-18,Delivered,BlueDart
SHP97241,TXN00025492,2024-06-07,2024-06-11,Delivered,EcomExpress
SHP34651,TXN00042030,2024-06-16,2024-06-23,Delivered,BlueDart
SHP64289,TXN00005122,2024-01-14,2024-01-21,Delivered,BlueDart
SHP48906,TXN00049140,2024-03-15,2024-03-16,Delivered,BlueDart
SHP64942,TXN00013736,2024-06-13,2024-06-19,Delivered,Delhivery
SHP47798,TXN00073399,2024-04-02,2024-04-11,Delivered,Delhivery
SHP42522,TXN00066898,2024-04-21,2024-04-28,Delivered,EcomExpress
SHP54252,TXN00094857,2024-02-08,2024-02-16,Delivered,Delhivery
SHP23712,TXN00033356,2024-01-15,2024-01-19,Delivered,Shadowfax
SHP60140,TXN00053674,2024-03-26,2024-03-29,Delivered,Delhivery
SHP74316,TXN00002574,2024-02-18,2024-02-20,Delivered,Delhivery
SHP82847,TXN00020635,2024-03-22,2024-03-27,Delivered,Shadowfax
SHP64978,TXN00036739,2024-06-10,2024-06-15,Delivered,Shadowfax
SHP70524,TXN00050280,2024-04-10,2024-04-16,Delivered,Delhivery
SHP12378,TXN00092131,2024-04-26,2024-04-30,Delivered,EcomExpress
SHP57322,TXN00069548,2024-01-28,2024-02-03,Delivered,Delhivery
SHP44947,TXN00003555,2024-04-15,2024-04-24,Delivered,EcomExpress
SHP58256,TXN00046049,2024-03-09,2024-03-11,Delivered,EcomExpress
SHP82192,TXN00010680,2024-03-29,2024-04-02,Delivered,Delhivery
SHP81228,TXN00062871,2024-03-09,2024-03-14,Delivered,Shadowfax
SHP30319,TXN00030116,2024-02-12,2024-02-14,Delivered,EcomExpress
SHP16255,TXN00096092,2024-01-26,2024-02-03,Delivered,EcomExpress
SHP50085,TXN00009517,2024-05-04,2024-05-12,Delivered,BlueDart
SHP96705,TXN00079628,2024-03-21,2024-03-28,Delivered,EcomExpress
SHP64795,TXN00009246,2024-03-30,2024-04-08,Delivered,EcomExpress
SHP19437,TXN00047958,2024-04-29,2024-04-30,Delivered,Shadowfax
SHP94528,TXN00082702,2024-01-28,2024-01-30,Delivered,BlueDart
SHP27600,TXN00062147,2024-05-15,2024-05-21,Delivered,EcomExpress
SHP24701,TXN00050987,2024-05-31,2024-06-02,Delivered,BlueDart
SHP22850,TXN00089891,2024-06-26,2024-07-06,Delivered,Delhivery
SHP15466,TXN00045569,2024-01-05,2024-01-14,Delivered,Delhivery
SHP57855,TXN00040828,2024-03-28,2024-04-04,Delivered,EcomExpress
SHP46033,TXN00007345,2024-02-27,2024-03-07,Delivered,EcomExpress
SHP70771,TXN00077497,2024-04-21,2024-04-26,Delivered,BlueDart
SHP57765,TXN00044228,2024-04-28,2024-05-06,Delivered,Delhivery
SHP70742,TXN00040615,2025-03-11,2025-03-20,Delivered,Delhivery
SHP83799,TXN00054985,2024-04-08,2024-04-10,Delivered,Shadowfax
SHP77687,TXN00097207,2024-05-26,2024-05-30,Delivered,BlueDart
SHP34989,TXN00070718,2024-05-29,2024-06-07,Delivered,Delhivery
SHP85509,TXN00054165,2024-04-09,2024-04-19,Delivered,Delhivery
SHP11296,TXN00010560,2024-01-27,2024-02-02,Delivered,Shadowfax
SHP97837,TXN00092876,2024-04-28,2024-04-30,Delivered,Shadowfax
SHP80613,TXN00005973,2024-05-31,2024-06-09,Delivered,Delhivery
SHP83317,TXN00033403,2024-03-24,2024-03-28,Delivered,BlueDart
SHP88066,TXN00094387,2024-03-29,2024-04-07,Delivered,Shadowfax
SHP82568,TXN00006262,2024-02-04,2024-02-06,Delivered,BlueDart
SHP63388,TXN00006514,2024-04-01,2024-04-06,Delivered,EcomExpress
SHP27002,TXN00007021,2024-05-24,2024-05-31,Delivered,Delhivery
SHP40145,TXN00050016,2024-03-10,2024-03-19,Delivered,Delhivery
SHP68494,TXN00009009,2024-04-11,2024-04-17,Delivered,Shadowfax
SHP50395,TXN00078895,2024-06-14,2024-06-20,Delivered,Shadowfax
SHP48195,TXN00090313,2024-06-03,2024-06-08,Delivered,Shadowfax
SHP34300,TXN00097727,2024-03-03,2024-03-12,Delivered,Shadowfax
SHP31151,TXN00087583,2024-04-12,2024-04-15,Delivered,Delhivery
SHP89878,TXN00068727,2024-02-13,2024-02-21,Delivered,BlueDart
SHP81870,TXN00083661,2024-06-26,2024-07-02,Delivered,Delhivery
SHP98250,TXN00001792,2024-04-01,2024-04-08,Delivered,Shadowfax
SHP79088,TXN00098735,2024-03-23,2024-03-26,Delivered,Shadowfax
SHP39610,TXN00048548,2024-03-24,2024-03-28,Delivered,Shadowfax
SHP59009,TXN00082493,2024-04-14,2024-04-20,Delivered,EcomExpress
SHP81898,TXN00009281,2024-06-20,2024-06-27,Delivered,Shadowfax
SHP56240,TXN00026341,2024-06-17,2024-06-21,Delivered,Shadowfax
SHP60504,TXN00023939,2024-02-28,2024-03-01,Delivered,BlueDart
SHP62517,TXN00058937,2024-03-17,2024-03-23,Delivered,EcomExpress
SHP85949,TXN00067871,2024-02-02,2024-02-12,Delivered,EcomExpress
SHP41882,TXN00087968,2024-03-27,2024-03-31,Delivered,Shadowfax
SHP34994,TXN00001974,2024-03-04,2024-03-14,Delivered,Delhivery
SHP79895,TXN00006007,2024-01-17,2024-01-24,Delivered,Shadowfax
SHP75619,TXN00047325,2024-04-22,2024-04-24,Delivered,Delhivery
SHP14764,TXN00066790,2024-03-12,2024-03-20,Delivered,Shadowfax
SHP75480,TXN00030494,2024-05-15,2024-05-25,Delivered,Delhivery
SHP18144,TXN00098908,2024-01-10,2024-01-19,Delivered,Shadowfax
SHP74381,TXN00036411,2024-02-09,2024-02-14,Delivered,EcomExpress
SHP62620,TXN00057541,2024-04-01,2024-04-06,Delivered,Shadowfax
SHP14209,TXN00065899,2024-04-16,2024-04-26,Delivered,BlueDart
SHP61156,TXN00013289,2024-02-20,2024-02-23,Delivered,BlueDart
SHP71158,TXN00021273,2024-04-12,2024-04-14,Delivered,EcomExpress
SHP24995,TXN00013697,2024-03-03,2024-03-09,Delivered,BlueDart
SHP90914,TXN00053608,2024-03-18,2024-03-25,Delivered,BlueDart
SHP98092,TXN00073682,2024-01-25,2024-01-28,Delivered,BlueDart
SHP55088,TXN00071706,2024-05-20,2024-05-28,Delivered,EcomExpress
SHP86743,TXN00063626,2024-03-25,2024-04-01,Delivered,EcomExpress
SHP76151,TXN00013329,2024-06-24,2024-07-02,Delivered,EcomExpress
SHP37502,TXN00059329,2024-03-06,2024-03-15,Delivered,Delhivery
SHP33810,TXN00062397,2024-04-10,2024-04-14,Delivered,Shadowfax
SHP55157,TXN00083322,2024-03-25,2024-03-29,Delivered,Delhivery
SHP94069,TXN00009866,2024-03-25,2024-04-04,Delivered,Shadowfax
SHP38095,TXN00085343,2024-04-13,2024-04-18,Delivered,Delhivery
SHP18748,TXN00022182,2024-03-13,2024-03-15,Delivered,Delhivery
SHP46408,TXN00018260,2024-03-23,2024-03-27,Delivered,EcomExpress
SHP25935,TXN00022660,2024-06-29,2024-07-03,Delivered,Delhivery
SHP92818,TXN00036170,2024-02-15,2024-02-25,Delivered,EcomExpress
SHP66811,TXN00005653,2024-03-16,2024-03-24,Delivered,Shadowfax
SHP70808,TXN00027403,2024-02-08,2024-02-09,Delivered,Shadowfax
SHP73049,TXN00067801,2024-02-26,2024-03-02,Delivered,BlueDart
SHP82165,TXN00047503,2024-04-15,2024-04-16,Delivered,Shadowfax
SHP80531,TXN00022154,2024-07-01,2024-07-09,Delivered,Shadowfax
SHP38589,TXN00098193,2024-04-13,2024-04-21,Delivered,Shadowfax
SHP72188,TXN00000125,2024-03-25,2024-04-01,Delivered,EcomExpress
SHP16184,TXN00004855,2024-02-11,2024-02-13,Delivered,EcomExpress
SHP96145,TXN00059547,2024-04-27,2024-05-03,Delivered,EcomExpress
SHP88219,TXN00047170,2024-04-15,2024-04-22,Delivered,BlueDart
SHP65953,TXN00078838,2024-02-12,2024-02-19,Delivered,EcomExpress
SHP61499,TXN00096586,2024-03-12,2024-03-20,Delivered,EcomExpress
SHP29365,TXN00044787,2024-03-24,2024-03-30,Delivered,BlueDart
SHP74194,TXN00035780,2024-04-29,2024-05-03,Delivered,Shadowfax
SHP46851,TXN00097797,2024-04-15,2024-04-19,Delivered,Delhivery
SHP74521,TXN00019607,2024-03-21,2024-03-31,Delivered,EcomExpress
SHP20831,TXN00096976,2024-05-17,2024-05-27,Delivered,EcomExpress
SHP52717,TXN00094885,2024-04-10,2024-04-12,Delivered,EcomExpress
SHP19174,TXN00031912,2024-03-23,2024-03-31,Delivered,Delhivery
SHP84763,TXN00053908,2024-02-22,2024-03-01,Delivered,Delhivery
SHP11676,TXN00088383,2024-01-19,2024-01-20,Delivered,BlueDart
SHP46889,TXN00009798,2024-03-24,2024-04-02,Delivered,BlueDart
SHP84530,TXN00038199,2024-04-22,2024-04-27,Delivered,Delhivery
SHP22041,TXN00043678,2024-02-25,2024-02-27,Delivered,Shadowfax
SHP56591,TXN00088080,2024-03-18,2024-03-27,Delivered,Delhivery
SHP69231,TXN00078756,2024-01-18,2024-01-22,Delivered,Delhivery
SHP88647,TXN00018978,2024-02-29,2024-03-07,Delivered,BlueDart
SHP62255,TXN00028620,2024-04-06,2024-04-12,Delivered,Delhivery
SHP30549,TXN00066253,2024-01-29,2024-02-06,Delivered,Delhivery
SHP41972,TXN00071649,2024-03-30,2024-04-07,Delivered,EcomExpress
SHP65251,TXN00054564,2024-04-15,2024-04-22,Delivered,Delhivery
SHP23052,TXN00036700,2024-02-20,2024-02-29,Delivered,EcomExpress
SHP29421,TXN00098980,2024-02-10,2024-02-13,Delivered,Shadowfax
SHP92087,TXN00081821,2024-06-24,2024-07-03,Delivered,BlueDart
SHP49519,TXN00019882,2024-05-06,2024-05-10,Delivered,Delhivery
SHP27806,TXN00045696,2024-06-08,2024-06-15,Delivered,EcomExpress
SHP68109,TXN00050486,2024-05-05,2024-05-06,Delivered,BlueDart
SHP79561,TXN00094064,2024-06-25,2024-07-04,Delivered,BlueDart
SHP49021,TXN00004545,2024-05-23,2024-06-01,Delivered,EcomExpress
SHP18516,TXN00085224,2024-02-12,2024-02-21,Delivered,Shadowfax
SHP78374,TXN00096672,2024-03-25,2024-03-28,Delivered,Delhivery
SHP61235,TXN00091658,2024-04-21,2024-04-23,Delivered,EcomExpress
SHP24516,TXN00047466,2024-02-22,2024-03-02,Delivered,Delhivery
SHP76289,TXN00067197,2024-04-10,2024-04-12,Delivered,Delhivery
SHP74425,TXN00002351,2024-06-14,2024-06-19,Delivered,Delhivery
SHP59759,TXN00008999,2024-06-17,2024-06-26,Delivered,EcomExpress
SHP58080,TXN00012537,2024-05-04,2024-05-13,Delivered,Delhivery
SHP95992,TXN00060119,2024-01-19,2024-01-25,Delivered,Delhivery
SHP61751,TXN00013464,2024-04-21,2024-04-22,Delivered,Shadowfax
SHP32112,TXN00057446,2024-04-16,2024-04-26,Delivered,EcomExpress
SHP81877,TXN00091406,2024-03-08,2024-03-12,Delivered,Shadowfax
SHP77520,TXN00039865,2024-02-02,2024-02-08,Delivered,Delhivery
SHP68718,TXN00089744,2024-02-18,2024-02-27,Delivered,Shadowfax
