product_id,product_name,category,base_price,cost_price
P0156,Electronics Item 156,Electronics,20808,14565
P0157,Grocery Item 157,Grocery,566,396
P0158,Apparel Item 158,Apparel,4841,3388
P0159,Apparel Item 159,Apparel,4571,3199
P0160,Personal Care Item 160,Personal Care,106,74
P0161,Apparel Item 161,Apparel,660,461
P0162,Grocery Item 162,Grocery,1623,1136
P0163,Personal Care Item 163,Personal Care,959,671
P0164,Personal Care Item 164,Personal Care,798,558
P0165,Electronics Item 165,Electronics,36524,25566
P0166,Apparel Item 166,Apparel,2034,1423
P0167,Electronics Item 167,Electronics,25076,17553
P0168,Home & Kitchen Item 168,Home & Kitchen,5115,3580
P0169,Grocery Item 169,Grocery,1250,875
P0170,Apparel Item 170,Apparel,3792,2654
P0171,Personal Care Item 171,Personal Care,1257,879
P0172,Personal Care Item 172,Personal Care,830,581
P0173,Electronics Item 173,Electronics,29898,20928
P0174,Home & Kitchen Item 174,Home & Kitchen,4215,2950
P0175,Apparel Item 175,Apparel,3160,2212
P0176,Electronics Item 176,Electronics,27029,18920
P0177,Grocery Item 177,Grocery,1015,710
P0178,Apparel Item 178,Apparel,4862,3403
P0179,Grocery Item 179,Grocery,1059,741
P0180,Apparel Item 180,Apparel,4029,2820
P0181,Personal Care Item 181,Personal Care,133,93
P0182,Electronics Item 182,Electronics,11762,8233
P0183,Personal Care Item 183,Personal Care,380,266
P0184,Apparel Item 184,Apparel,3864,2704
P0185,Electronics Item 185,Electronics,18432,12902
P0186,Home & Kitchen Item 186,Home & Kitchen,7756,5429
P0187,Personal Care Item 187,Personal Care,248,173
P0188,Electronics Item 188,Electronics,49627,34738
P0189,Personal Care Item 189,Personal Care,1003,702
P0190,Apparel Item 190,Apparel,2308,1615
P0191,Apparel Item 191,Apparel,2289,1602
P0192,Grocery Item 192,Grocery,248,173
P0193,Electronics Item 193,Electronics,21807,15264
P0194,Electronics Item 194,Electronics,43502,30451
P0195,Home & Kitchen Item 195,Home & Kitchen,2970,2079
P0196,Grocery Item 196,Grocery,1366,956
P0197,Personal Care Item 197,Personal Care,1021,714
P0198,Apparel Item 198,Apparel,1265,885
P0199,Grocery Item 199,Grocery,1941,1358
P0200,Apparel Item 200,Apparel,1473,1031
P0201,Electronics Item 201,Electronics,21404,14982
P0202,Personal Care Item 202,Personal Care,1199,839
P0203,Apparel Item 203,Apparel,861,602
P0204,Home & Kitchen Item 204,Home & Kitchen,5539,3877
P0205,Personal Care Item 205,Personal Care,442,309
P0206,Electronics Item 206,Electronics,37083,25958
P0207,Apparel Item 207,Apparel,3873,2711
P0208,Grocery Item 208,Grocery,254,177
P0209,Electronics Item 209,Electronics,38010,26607
P0210,Personal Care Item 210,Personal Care,569,398
P0211,Personal Care Item 211,Personal Care,668,467
P0212,Electronics Item 212,Electronics,32990,23093
P0213,Grocery Item 213,Grocery,1964,1374
P0214,Grocery Item 214,Grocery,1592,1114
P0215,Home & Kitchen Item 215,Home & Kitchen,3691,2583
P0216,Electronics Item 216,Electronics,11390,7972
P0217,Personal Care Item 217,Personal Care,143,100
P0218,Grocery Item 218,Grocery,444,310
P0219,Apparel Item 219,Apparel,1785,1249
P0220,Apparel Item 220,Apparel,870,609
P0221,Apparel Item 221,Apparel,2104,1472
P0222,Apparel Item 222,Apparel,2119,1483
P0223,Apparel Item 223,Apparel,2916,2041
P0224,Home & Kitchen Item 224,Home & Kitchen,2003,1402
P0225,Home & Kitchen Item 225,Home & Kitchen,4696,3287
P0226,Personal Care Item 226,Personal Care,375,262
P0227,Electronics Item 227,Electronics,12725,8907
P0228,Apparel Item 228,Apparel,3503,2452
P0229,Grocery Item 229,Grocery,1759,1231
P0230,Home & Kitchen Item 230,Home & Kitchen,3521,2464
P0231,Electronics Item 231,Electronics,15424,10796
P0232,Home & Kitchen Item 232,Home & Kitchen,7194,5035
P0233,Electronics Item 233,Electronics,16231,11361
P0234,Grocery Item 234,Grocery,121,84
P0235,Personal Care Item 235,Personal Care,458,320
P0236,Home & Kitchen Item 236,Home & Kitchen,2778,1944
P0237,Electronics Item 237,Electronics,15324,10726
P0238,Apparel Item 238,Apparel,1099,769
P0239,Apparel Item 239,Apparel,3900,2730
P0240,Electronics Item 240,Electronics,33483,23438
P0241,Apparel Item 241,Apparel,1861,1302
P0242,Grocery Item 242,Grocery,1511,1057
P0243,Personal Care Item 243,Personal Care,1236,865
P0244,Personal Care Item 244,Personal Care,1311,917
P0245,Personal Care Item 245,Personal Care,775,542
P0246,Home & Kitchen Item 246,Home & Kitchen,3578,2504
P0247,Personal Care Item 247,Personal Care,1191,833
P0248,Personal Care Item 248,Personal Care,541,378
P0249,Home & Kitchen Item 249,Home & Kitchen,7961,5572
P0250,Apparel Item 250,Apparel,4146,2902
P0251,Grocery Item 251,Grocery,696,487
P0252,Grocery Item 252,Grocery,1291,903
P0253,Apparel Item 253,Apparel,664,464
P0254,Apparel Item 254,Apparel,3824,2676
P0255,Grocery Item 255,Grocery,819,573
P0256,Personal Care Item 256,Personal Care,1052,736
P0257,Electronics Item 257,Electronics,43102,30171
P0258,Electronics Item 258,Electronics,13308,9315
P0259,Electronics Item 259,Electronics,20056,14039
P0260,Personal Care Item 260,Personal Care,331,231
P0261,Personal Care Item 261,Personal Care,1081,756
P0262,Home & Kitchen Item 262,Home & Kitchen,3215,2250
P0263,Electronics Item 263,Electronics,38944,27260
P0264,Apparel Item 264,Apparel,4915,3440
P0265,Apparel Item 265,Apparel,1535,1074
P0266,Apparel Item 266,Apparel,915,640
P0267,Personal Care Item 267,Personal Care,1342,939
P0268,Personal Care Item 268,Personal Care,251,175
P0269,Apparel Item 269,Apparel,4915,3440
P0270,Personal Care Item 270,Personal Care,271,189
P0271,Grocery Item 271,Grocery,1125,787
P0272,Personal Care Item 272,Personal Care,291,203
P0273,Grocery Item 273,Grocery,584,408
P0274,Grocery Item 274,Grocery,1174,821
P0275,Apparel Item 275,Apparel,1960,1372
P0276,Electronics Item 276,Electronics,33031,23121
P0277,Home & Kitchen Item 277,Home & Kitchen,4363,3054
P0278,Apparel Item 278,Apparel,2306,1614
P0279,Electronics Item 279,Electronics,38944,27260
P0280,Apparel Item 280,Apparel,4123,2886
P0281,Electronics Item 281,Electronics,32664,22864
P0282,Personal Care Item 282,Personal Care,264,184
P0283,Grocery Item 283,Grocery,993,695
P0284,Apparel Item 284,Apparel,2763,1934
P0285,Grocery Item 285,Grocery,111,77
P0286,Electronics Item 286,Electronics,5755,4028
P0287,Electronics Item 287,Electronics,48573,34001
P0288,Electronics Item 288,Electronics,6988,4891
P0289,Electronics Item 289,Electronics,26135,18294
P0290,Apparel Item 290,Apparel,1164,814
P0291,Electronics Item 291,Electronics,17479,12235
P0292,Home & Kitchen Item 292,Home & Kitchen,2609,1826
P0293,Home & Kitchen Item 293,Home & Kitchen,9831,6881
P0294,Grocery Item 294,Grocery,167,116
P0295,Personal Care Item 295,Personal Care,152,106
P0296,Apparel Item 296,Apparel,3394,2375
P0297,Grocery Item 297,Grocery,826,578
P0298,Electronics Item 298,Electronics,38031,26621
P0299,Grocery Item 299,Grocery,1591,1113
P0300,Grocery Item 300,Grocery,584,408
P0301,Apparel Item 301,Apparel,1196,837
P0302,Personal Care Item 302,Personal Care,402,281
P0303,Personal Care Item 303,Personal Care,1468,1027
P0304,Personal Care Item 304,Personal Care,1205,843
P0305,Home & Kitchen Item 305,Home & Kitchen,5705,3993
P0306,Home & Kitchen Item 306,Home & Kitchen,9556,6689
P0307,Electronics Item 307,Electronics,14868,10407
P0308,Apparel Item 308,Apparel,2867,2006
P0309,Personal Care Item 309,Personal Care,1373,961
P0310,Electronics Item 310,Electronics,25585,17909
P0311,Home & Kitchen Item 311,Home & Kitchen,8682,6077
P0312,Electronics Item 312,Electronics,38236,26765
P0313,Home & Kitchen Item 313,Home & Kitchen,8656,6059
P0314,Electronics Item 314,Electronics,7893,5525
P0315,Personal Care Item 315,Personal Care,200,140
P0316,Electronics Item 316,Electronics,48387,33870
P0317,Grocery Item 317,Grocery,1864,1304
P0318,Apparel Item 318,Apparel,3595,2516
P0319,Grocery Item 319,Grocery,1353,947
P0320,Grocery Item 320,Grocery,231,161
P0321,Grocery Item 321,Grocery,1532,1072
P0322,Personal Care Item 322,Personal Care,663,464
P0323,Personal Care Item 323,Personal Care,407,284
P0324,Home & Kitchen Item 324,Home & Kitchen,7188,5031
P0325,Personal Care Item 325,Personal Care,351,245
P0326,Apparel Item 326,Apparel,3883,2718
P0327,Apparel Item 327,Apparel,2707,1894
P0328,Personal Care Item 328,Personal Care,566,396
P0329,Grocery Item 329,Grocery,806,564
P0330,Electronics Item 330,Electronics,28999,20299
P0331,Grocery Item 331,Grocery,1732,1212
P0332,Apparel Item 332,Apparel,3574,2501
P0333,Electronics Item 333,Electronics,41211,28847
P0334,Electronics Item 334,Electronics,45961,32172
P0335,Home & Kitchen Item 335,Home & Kitchen,1868,1307
P0336,Home & Kitchen Item 336,Home & Kitchen,4406,3084
P0337,Apparel Item 337,Apparel,3860,2702
P0338,Personal Care Item 338,Personal Care,1357,949
P0339,Personal Care Item 339,Personal Care,1042,729
P0340,Personal Care Item 340,Personal Care,827,578
P0341,Electronics Item 341,Electronics,45920,32143
P0342,Personal Care Item 342,Personal Care,478,334
P0343,Apparel Item 343,Apparel,1028,719
P0344,Electronics Item 344,Electronics,22551,15785
P0345,Electronics Item 345,Electronics,13022,9115
P0346,Home & Kitchen Item 346,Home & Kitchen,5142,3599
P0347,Personal Care Item 347,Personal Care,354,247
P0348,Personal Care Item 348,Personal Care,1183,828
P0349,Electronics Item 349,Electronics,22144,15500
P0350,Grocery Item 350,Grocery,1805,1263
P0351,Apparel Item 351,Apparel,4984,3488
P0352,Home & Kitchen Item 352,Home & Kitchen,9166,6416
P0353,Apparel Item 353,Apparel,4724,3306
P0354,Apparel Item 354,Apparel,3597,2517
P0355,Apparel Item 355,Apparel,4828,3379
P0356,Electronics Item 356,Electronics,31195,21836
P0357,Grocery Item 357,Grocery,546,382
P0358,Apparel Item 358,Apparel,1036,725
P0359,Apparel Item 359,Apparel,3777,2643
P0360,Personal Care Item 360,Personal Care,1488,1041
P0361,Grocery Item 361,Grocery,1536,1075
P0362,Apparel Item 362,Apparel,4773,3341
P0363,Personal Care Item 363,Personal Care,1421,994
P0364,Grocery Item 364,Grocery,884,618
P0365,Grocery Item 365,Grocery,374,261
P0366,Electronics Item 366,Electronics,20906,14634
P0367,Home & Kitchen Item 367,Home & Kitchen,3138,2196
P0368,Grocery Item 368,Grocery,1529,1070
P0369,Personal Care Item 369,Personal Care,982,687
P0370,Apparel Item 370,Apparel,1352,946
P0371,Grocery Item 371,Grocery,1643,1150
P0372,Grocery Item 372,Grocery,218,152
P0373,Home & Kitchen Item 373,Home & Kitchen,1668,1167
P0374,Home & Kitchen Item 374,Home & Kitchen,5777,4043
P0375,Home & Kitchen Item 375,Home & Kitchen,3566,2496
P0376,Grocery Item 376,Grocery,1987,1390
P0377,Grocery Item 377,Grocery,1601,1120
P0378,Grocery Item 378,Grocery,1824,1276
P0379,Electronics Item 379,Electronics,17228,12059
P0380,Home & Kitchen Item 380,Home & Kitchen,4753,3327
P0381,Grocery Item 381,Grocery,746,522
P0382,Personal Care Item 382,Personal Care,1499,1049
P0383,Apparel Item 383,Apparel,2907,2034
P0384,Apparel Item 384,Apparel,690,482
P0385,Electronics Item 385,Electronics,35790,25053
P0386,Home & Kitchen Item 386,Home & Kitchen,6041,4228
P0387,Home & Kitchen Item 387,Home & Kitchen,5584,3908
P0388,Grocery Item 388,Grocery,1100,770
P0389,Personal Care Item 389,Personal Care,1186,830
P0390,Personal Care Item 390,Personal Care,146,102
P0391,Apparel Item 391,Apparel,1392,974
P0392,Grocery Item 392,Grocery,544,380
P0393,Personal Care Item 393,Personal Care,1125,787
P0394,Personal Care Item 394,Personal Care,465,325
P0395,Grocery Item 395,Grocery,729,510
P0396,Apparel Item 396,Apparel,4314,3019
P0397,Personal Care Item 397,Personal Care,226,158
P0398,Grocery Item 398,Grocery,126,88
P0399,Grocery Item 399,Grocery,1456,1019
P0400,Electronics Item 400,Electronics,24095,16866
P0401,Apparel Item 401,Apparel,2176,1523
P0402,Apparel Item 402,Apparel,2211,1547
P0403,Grocery Item 403,Grocery,447,312
P0404,Personal Care Item 404,Personal Care,627,438
P0405,Personal Care Item 405,Personal Care,745,521
P0406,Electronics Item 406,Electronics,30868,21607
P0407,Apparel Item 407,Apparel,1658,1160
P0408,Electronics Item 408,Electronics,10902,7631
P0409,Electronics Item 409,Electronics,44312,31018
P0410,Home & Kitchen Item 410,Home & Kitchen,9621,6734
P0411,Home & Kitchen Item 411,Home & Kitchen,3027,2118
P0412,Personal Care Item 412,Personal Care,198,138
P0413,Personal Care Item 413,Personal Care,506,354
P0414,Apparel Item 414,Apparel,1248,873
P0415,Apparel Item 415,Apparel,4535,3174
P0416,Apparel Item 416,Apparel,1603,1122
P0417,Home & Kitchen Item 417,Home & Kitchen,6292,4404
P0418,Apparel Item 418,Apparel,821,574
P0419,Home & Kitchen Item 419,Home & Kitchen,1569,1098
P0420,Electronics Item 420,Electronics,10496,7347
P0421,Personal Care Item 421,Personal Care,1134,793
P0422,Home & Kitchen Item 422,Home & Kitchen,6364,4454
P0423,Home & Kitchen Item 423,Home & Kitchen,2561,1792
P0424,Home & Kitchen Item 424,Home & Kitchen,9203,6442
P0425,Home & Kitchen Item 425,Home & Kitchen,9592,6714
P0426,Electronics Item 426,Electronics,5699,3989
P0427,Apparel Item 427,Apparel,2209,1546
P0428,Electronics Item 428,Electronics,6926,4848
P0429,Personal Care Item 429,Personal Care,318,222
P0430,Grocery Item 430,Grocery,1644,1150
P0431,Home & Kitchen Item 431,Home & Kitchen,2835,1984
P0432,Personal Care Item 432,Personal Care,361,252
P0433,Personal Care Item 433,Personal Care,1172,820
P0434,Electronics Item 434,Electronics,21016,14711
P0435,Home & Kitchen Item 435,Home & Kitchen,6469,4528
P0436,Home & Kitchen Item 436,Home & Kitchen,9148,6403
P0437,Grocery Item 437,Grocery,1543,1080
P0438,Grocery Item 438,Grocery,1735,1214
P0439,Personal Care Item 439,Personal Care,345,241
P0440,Home & Kitchen Item 440,Home & Kitchen,1050,735
P0441,Personal Care Item 441,Personal Care,1492,1044
P0442,Apparel Item 442,Apparel,3709,2596
P0443,Grocery Item 443,Grocery,1298,908
P0444,Grocery Item 444,Grocery,324,226
P0445,Electronics Item 445,Electronics,9997,6997
P0446,Grocery Item 446,Grocery,1286,900
P0447,Electronics Item 447,Electronics,13072,9150
P0448,Personal Care Item 448,Personal Care,1409,986
P0449,Personal Care Item 449,Personal Care,687,480
P0450,Electronics Item 450,Electronics,40338,28236
P0451,Grocery Item 451,Grocery,512,358
P0452,Apparel Item 452,Apparel,3752,2626
P0453,Personal Care Item 453,Personal Care,1077,753
P0454,Grocery Item 454,Grocery,1766,1236
P0455,Electronics Item 455,Electronics,43440,30407
P0456,Apparel Item 456,Apparel,3836,2685
P0457,Apparel Item 457,Apparel,1897,1327
P0458,Apparel Item 458,Apparel,2266,1586
P0459,Personal Care Item 459,Personal Care,1332,932
P0460,Personal Care Item 460,Personal Care,402,281
P0461,Electronics Item 461,Electronics,20737,14515
P0462,Home & Kitchen Item 462,Home & Kitchen,5505,3853
P0463,Grocery Item 463,Grocery,741,518
P0464,Home & Kitchen Item 464,Home & Kitchen,2257,1579
P0465,Electronics Item 465,Electronics,21721,15204
P0466,Electronics Item 466,Electronics,24264,16984
P0467,Apparel Item 467,Apparel,4757,3329
P0468,Personal Care Item 468,Personal Care,934,653
P0469,Electronics Item 469,Electronics,29040,20328
P0470,Electronics Item 470,Electronics,27117,18981
P0471,Apparel Item 471,Apparel,4533,3173
P0472,Home & Kitchen Item 472,Home & Kitchen,8023,5616
P0473,Home & Kitchen Item 473,Home & Kitchen,1759,1231
P0474,Personal Care Item 474,Personal Care,296,207
P0475,Electronics Item 475,Electronics,13440,9408
P0476,Home & Kitchen Item 476,Home & Kitchen,1294,905
P0477,Electronics Item 477,Electronics,17644,12350
P0478,Electronics Item 478,Electronics,39095,27366
P0479,Apparel Item 479,Apparel,3459,2421
P0480,Home & Kitchen Item 480,Home & Kitchen,7518,5262
P0481,Personal Care Item 481,Personal Care,281,196
P0482,Electronics Item 482,Electronics,30315,21220
P0483,Apparel Item 483,Apparel,4232,2962
P0484,Electronics Item 484,Electronics,25996,18197
P0485,Apparel Item 485,Apparel,1318,922
P0486,Apparel Item 486,Apparel,2290,1603
P0487,Grocery Item 487,Grocery,1888,1321
P0488,Grocery Item 488,Grocery,778,544
P0489,Electronics Item 489,Electronics,33166,23216
P0490,Personal Care Item 490,Personal Care,1226,858
P0491,Apparel Item 491,Apparel,4073,2851
P0492,Personal Care Item 492,Personal Care,322,225
P0493,Home & Kitchen Item 493,Home & Kitchen,8950,6265
P0494,Home & Kitchen Item 494,Home & Kitchen,3336,2335
P0495,Personal Care Item 495,Personal Care,531,371
P0496,Personal Care Item 496,Personal Care,640,448
P0497,Grocery Item 497,Grocery,1585,1109
P0498,Electronics Item 498,Electronics,12590,8813
P0499,Apparel Item 499,Apparel,2990,2093
