session_id,timestamp,event_type,product_id,user_id,device
SES697542,2024-02-28 15:14:00,view_item,P0446,,Mobile
SES154687,2024-01-21 18:15:00,view_item,,,Desktop
SES436072,2024-05-30 16:01:00,search,,,Desktop
SES429322,2024-05-14 10:11:00,view_item,P0124,U6539,Mobile
SES332581,2024-02-23 13:25:00,view_item,P0436,,Mobile
SES400117,2024-06-22 09:49:00,add_to_cart,,,Tablet
SES206257,2024-06-05 23:09:00,view_item,P0208,U9305,Desktop
SES150382,2024-02-26 09:47:00,search,P0439,U5862,Mobile
SES555690,2024-03-21 14:08:00,view_item,P0384,,Tablet
SES383761,2024-06-02 19:13:00,view_item,P0123,,Tablet
SES193505,2024-03-23 12:58:00,view_item,P0350,,Desktop
SES244722,2024-01-23 10:28:00,search,P0196,,Tablet
SES909883,2024-04-08 19:46:00,search,,U4014,Mobile
SES901683,2024-02-18 19:58:00,add_to_cart,P0496,U7155,Desktop
SES565317,2024-04-21 05:38:00,remove_from_cart,P0154,,Tablet
SES460225,2024-04-29 12:32:00,search,P0175,,Tablet
SES180017,2024-06-13 02:10:00,view_item,P0315,,Tablet
SES576564,2024-04-06 01:43:00,remove_from_cart,,,Tablet
SES304509,2024-03-25 11:03:00,add_to_cart,P0405,,Mobile
SES287251,2024-04-14 21:22:00,view_item,P0394,,Mobile
SES562124,2024-03-23 09:14:00,add_to_cart,P0272,,Desktop
SES617652,2024-01-13 10:43:00,add_to_cart,P0233,,Desktop
SES428555,2024-02-09 15:50:00,search,P0295,U9863,Tablet
SES326973,2024-06-22 11:50:00,remove_from_cart,P0413,U174,Mobile
SES231085,2024-05-28 13:42:00,view_item,P0046,,Desktop
SES926942,2024-03-24 04:47:00,search,P0119,,Tablet
SES925782,2024-03-20 23:52:00,remove_from_cart,P0465,U7076,Mobile
SES594796,2024-03-24 06:20:00,remove_from_cart,P0303,U1510,Mobile
SES925853,2024-04-25 08:24:00,add_to_cart,P0328,,Tablet
SES808272,2024-06-26 18:23:00,view_item,P0472,U1899,Desktop
SES940766,2024-05-15 14:09:00,remove_from_cart,P0490,U6186,Desktop
SES476211,2024-03-26 21:23:00,view_item,P0144,,Mobile
SES754587,2024-04-29 04:12:00,search,P0061,U5674,Desktop
SES119384,2024-06-21 03:05:00,view_item,P0443,,Tablet
SES982816,2024-03-23 13:01:00,search,P0296,U7369,Mobile
SES510424,2024-06-06 17:27:00,purchase,,,Mobile
SES811615,2024-04-26 12:58:00,add_to_cart,P0251,U7706,Mobile
SES730909,2024-03-20 09:53:00,view_item,P0132,,Mobile
SES868391,2024-06-01 11:19:00,remove_from_cart,P0352,U9826,Desktop
SES211648,2024-02-23 20:32:00,view_item,,U7317,Mobile
SES270747,2024-03-04 12:38:00,view_item,,U7878,Desktop
SES609678,2024-01-23 01:16:00,view_item,P0246,U3045,Desktop
SES311511,2024-03-26 15:33:00,search,P0070,,Tablet
SES177151,2024-01-31 01:10:00,search,,U3445,Desktop
SES621128,2024-01-01 19:49:00,view_item,,,Tablet
SES105700,2024-05-02 13:37:00,add_to_cart,P0075,,Desktop
SES410602,2024-03-08 02:57:00,view_item,P0270,,Desktop
SES718198,2024-01-22 21:22:00,view_item,P0223,,Tablet
SES924448,2024-01-03 10:10:00,search,P0426,,Desktop
SES255201,2024-04-01 00:08:00,add_to_cart,,,Desktop
SES105496,2024-04-14 03:18:00,view_item,P0107,,Tablet
SES466304,2024-04-04 17:44:00,view_item,,U7982,Tablet
SES757958,2024-06-10 10:03:00,view_item,P0338,,Mobile
SES343116,2024-03-18 08:20:00,view_item,P0342,,Desktop
SES769917,2024-03-23 00:08:00,view_item,P0258,,Mobile
SES417467,2024-02-11 10:20:00,add_to_cart,,U9587,Mobile
SES826159,2024-02-17 06:00:00,view_item,P0219,,Tablet
SES436106,2024-06-09 22:27:00,search,P0184,,Mobile
SES118233,2024-02-19 08:25:00,add_to_cart,P0311,,Desktop
SES972609,2024-03-30 18:35:00,search,P0361,,Desktop
SES299998,2024-01-16 07:13:00,remove_from_cart,,,Mobile
SES254726,2024-06-26 11:06:00,purchase,P0131,,Desktop
SES839098,2024-02-11 09:43:00,view_item,P0374,U8906,Desktop
SES312283,2024-05-28 17:06:00,view_item,P0033,U9609,Tablet
SES428524,2024-03-01 07:36:00,view_item,P0211,,Mobile
SES802647,2024-01-04 03:23:00,search,,U9152,Mobile
SES150397,2024-06-28 09:43:00,view_item,,U8473,Desktop
SES274871,2024-03-22 07:39:00,view_item,P0124,,Tablet
SES567463,2024-03-12 05:07:00,view_item,P0342,,Mobile
SES496828,2024-04-18 17:03:00,view_item,P0345,,Mobile
SES597563,2024-04-18 12:29:00,purchase,P0310,U5765,Desktop
SES314646,2024-03-22 13:21:00,search,P0124,U61,Tablet
SES927358,2024-03-21 23:57:00,search,P0394,,Tablet
SES369027,2024-06-30 09:06:00,add_to_cart,,,Mobile
SES870417,2024-06-12 15:30:00,remove_from_cart,P0021,,Mobile
SES104779,2024-03-22 04:16:00,view_item,P0166,,Mobile
SES966748,2024-06-05 20:53:00,add_to_cart,P0145,,Tablet
SES762505,2024-02-24 02:25:00,view_item,P0298,,Tablet
SES484218,2024-04-30 21:17:00,view_item,,,Mobile
SES462191,2024-04-20 21:03:00,view_item,P0184,U8646,Desktop
SES265406,2024-02-26 17:06:00,view_item,P0112,U247,Tablet
SES577552,2024-06-23 17:56:00,search,P0126,,Desktop
SES608741,2024-01-27 19:19:00,view_item,P0253,,Mobile
SES337732,2024-06-23 21:47:00,view_item,P0341,,Desktop
SES132082,2024-06-02 07:19:00,add_to_cart,,,Desktop
SES130952,2024-04-08 07:04:00,view_item,P0105,U4487,Mobile
SES350535,2024-03-10 02:37:00,add_to_cart,P0391,,Tablet
SES486003,2024-04-08 17:44:00,purchase,P0183,U4065,Tablet
SES504456,2024-01-06 01:56:00,view_item,,,Desktop
SES992051,2024-04-26 10:44:00,view_item,P0465,,Tablet
SES899573,2024-04-21 21:02:00,add_to_cart,P0426,U1751,Desktop
SES686429,2024-01-03 08:48:00,view_item,P0150,,Mobile
SES102012,2024-01-01 20:24:00,add_to_cart,P0381,,Desktop
SES291064,2024-03-21 07:40:00,add_to_cart,P0412,U6371,Desktop
SES874433,2024-04-28 16:20:00,view_item,P0234,U2336,Mobile
SES778342,2024-03-22 01:54:00,add_to_cart,P0023,,Mobile
SES173001,2024-06-11 11:18:00,search,,U5594,Desktop
SES404362,2024-04-06 18:44:00,remove_from_cart,P0145,,Desktop
SES759997,2024-01-01 23:40:00,search,P0270,,Desktop
SES299004,2024-04-12 16:20:00,add_to_cart,P0040,,Tablet
SES203733,2024-03-20 01:15:00,remove_from_cart,P0082,,Tablet
SES900460,2024-04-13 10:55:00,view_item,P0354,U2598,Mobile
SES157883,2024-01-04 20:07:00,view_item,P0254,U9108,Desktop
SES938623,2024-03-30 04:17:00,view_item,P0131,,Tablet
SES519284,2024-03-26 10:39:00,view_item,,U9914,Mobile
SES990336,2024-06-22 22:09:00,search,P0300,,Mobile
SES540196,2024-05-15 03:53:00,view_item,,,Desktop
SES811229,2024-03-23 23:17:00,view_item,P0368,U7887,Desktop
SES920186,2024-01-29 01:29:00,add_to_cart,P0248,U357,Mobile
SES188257,2024-01-14 07:42:00,view_item,,,Mobile
SES998104,2024-05-03 23:52:00,view_item,,U2716,Mobile
SES535565,2024-03-01 16:38:00,view_item,P0298,U8458,Desktop
SES348972,2024-03-26 03:14:00,view_item,,,Tablet
SES378873,2024-01-16 08:53:00,view_item,P0007,,Tablet
SES282682,2024-06-23 21:49:00,remove_from_cart,P0220,,Mobile
SES384765,2024-06-10 07:15:00,view_item,P0356,,Mobile
SES404885,2024-02-24 03:01:00,add_to_cart,P0231,,Tablet
SES698525,2024-02-08 05:19:00,search,P0288,,Tablet
SES825031,2024-06-14 04:51:00,view_item,P0046,U4596,Tablet
SES896379,2024-06-06 13:51:00,search,P0311,,Tablet
SES689462,2024-03-30 21:23:00,view_item,P0234,,Mobile
SES894781,2024-06-05 07:04:00,add_to_cart,P0356,,Desktop
SES717847,2024-06-28 00:02:00,search,P0343,,Desktop
SES514311,2024-05-31 17:31:00,search,P0125,,Mobile
SES748577,2024-06-30 18:27:00,add_to_cart,P0205,,Tablet
SES253844,2024-05-11 15:41:00,add_to_cart,P0218,,Mobile
SES719726,2024-03-30 08:35:00,add_to_cart,P0144,U3633,Desktop
SES609147,2024-02-21 05:45:00,view_item,P0351,U4225,Mobile
SES202800,2024-01-16 13:21:00,view_item,P0123,U9604,Mobile
SES734157,2024-04-17 00:53:00,add_to_cart,P0139,,Mobile
SES405072,2024-03-23 04:11:00,view_item,P0009,U5990,Mobile
SES667117,2024-01-28 10:17:00,add_to_cart,P0149,U7303,Mobile
SES947191,2024-03-16 22:14:00,view_item,P0024,,Mobile
SES564875,2024-04-13 19:21:00,view_item,P0222,,Mobile
SES747185,2024-01-25 07:45:00,search,,U1358,Tablet
SES894686,2024-06-02 16:52:00,add_to_cart,P0183,,Tablet
SES442812,2024-05-27 17:14:00,remove_from_cart,,,Tablet
SES245031,2024-01-29 21:00:00,view_item,,,Desktop
SES826930,2024-04-14 13:29:00,search,,,Tablet
SES314317,2024-01-24 17:11:00,view_item,,,Desktop
SES517576,2024-01-25 05:56:00,view_item,P0442,U1725,Desktop
SES483143,2024-03-30 02:12:00,add_to_cart,P0258,U5297,Desktop
SES793069,2024-02-15 13:09:00,purchase,P0300,,Mobile
SES126286,2024-02-18 17:45:00,view_item,P0238,U7685,Desktop
SES137013,2024-02-24 23:46:00,view_item,P0218,U1271,Desktop
SES238676,2024-04-14 06:47:00,view_item,P0236,U636,Tablet
SES879355,2024-06-24 14:18:00,view_item,,,Mobile
SES823145,2024-03-26 01:57:00,search,,,Tablet
SES987028,2024-06-23 01:54:00,search,P0363,,Tablet
SES480321,2024-05-01 15:44:00,add_to_cart,P0289,,Desktop
SES951164,2024-05-23 21:00:00,view_item,P0310,U129,Desktop
SES819412,2024-03-22 10:21:00,view_item,,,Tablet
SES180958,2024-03-01 01:22:00,remove_from_cart,,,Tablet
SES702209,2024-05-23 14:40:00,add_to_cart,P0192,,Tablet
SES184642,2024-03-21 19:54:00,view_item,P0432,,Mobile
SES803287,2024-04-26 16:15:00,add_to_cart,P0016,,Mobile
SES222604,2024-01-21 02:28:00,search,P0263,,Tablet
SES571689,2024-02-09 23:13:00,view_item,P0123,,Tablet
SES349972,2024-03-17 17:29:00,add_to_cart,P0006,U2550,Mobile
SES972669,2024-04-11 05:27:00,view_item,P0226,,Tablet
SES931944,2024-05-21 23:41:00,search,,,Mobile
SES649528,2024-03-14 02:54:00,view_item,P0470,,Mobile
SES920240,2024-06-07 13:30:00,view_item,P0113,,Tablet
SES730518,2024-02-03 17:12:00,remove_from_cart,P0044,,Desktop
SES966319,2024-02-23 13:57:00,view_item,P0220,,Desktop
SES929627,2024-02-28 10:01:00,view_item,P0321,,Tablet
SES446532,2024-03-10 15:22:00,remove_from_cart,,U4880,Tablet
SES794116,2024-04-06 23:57:00,view_item,P0408,,Tablet
SES748543,2024-04-20 01:18:00,view_item,,U3747,Tablet
SES109756,2024-02-03 23:32:00,view_item,P0129,U1668,Desktop
SES635179,2024-04-14 07:08:00,search,P0216,,Desktop
SES309135,2024-02-15 00:17:00,remove_from_cart,P0279,,Tablet
SES240287,2024-02-03 07:05:00,search,P0366,,Tablet
SES793931,2024-04-08 06:45:00,view_item,P0469,,Mobile
SES123486,2024-04-12 22:05:00,view_item,P0323,U5373,Desktop
SES327906,2024-03-10 16:04:00,view_item,P0153,,Mobile
SES549152,2024-06-22 05:40:00,search,P0197,U7139,Desktop
SES389523,2024-02-08 23:00:00,search,,U6238,Mobile
SES333878,2024-01-13 04:08:00,purchase,,,Tablet
SES198998,2024-01-26 09:53:00,view_item,P0396,,Tablet
SES363095,2024-01-08 17:43:00,view_item,P0219,,Desktop
SES125866,2024-04-14 14:09:00,remove_from_cart,P0481,,Desktop
SES373121,2024-01-26 13:57:00,search,P0268,,Tablet
SES204920,2024-04-16 21:30:00,search,,U6619,Mobile
SES837086,2024-02-11 19:08:00,view_item,P0225,U4126,Desktop
SES164415,2024-04-14 18:04:00,search,P0080,,Desktop
SES759531,2024-04-07 12:23:00,search,P0021,,Desktop
SES217414,2024-05-07 19:59:00,view_item,,,Desktop
SES577302,2024-01-08 20:31:00,add_to_cart,P0070,U5226,Mobile
SES687189,2024-04-04 19:14:00,view_item,P0233,,Mobile
SES860651,2024-03-18 18:55:00,search,P0388,,Mobile
SES546187,2024-04-22 12:33:00,remove_from_cart,,,Desktop
SES604969,2024-04-08 02:26:00,view_item,P0114,,Desktop
SES133875,2024-04-07 22:47:00,view_item,P0045,U1337,Tablet
SES802219,2024-03-19 04:50:00,search,,,Tablet
SES531566,2024-02-01 08:00:00,remove_from_cart,P0054,,Desktop
SES260101,2024-02-04 08:22:00,view_item,,,Mobile
SES752804,2024-02-09 20:39:00,view_item,P0373,,Desktop
SES707662,2024-02-29 02:27:00,search,P0317,,Desktop
SES213260,2024-03-29 11:19:00,remove_from_cart,P0126,,Tablet
SES567759,2024-01-27 07:46:00,view_item,P0188,,Tablet
SES638016,2024-02-03 19:05:00,add_to_cart,P0386,U3138,Mobile
SES323684,2024-03-25 00:18:00,view_item,P0157,U321,Tablet
SES318690,2024-01-08 01:25:00,view_item,P0031,,Desktop
SES528799,2024-04-30 20:15:00,view_item,P0133,,Tablet
SES488530,2024-05-31 10:54:00,view_item,P0215,,Desktop
SES873387,2024-03-30 19:28:00,add_to_cart,P0318,U8945,Mobile
SES786169,2024-04-07 02:29:00,view_item,P0121,,Mobile
SES167316,2024-06-11 16:46:00,add_to_cart,P0442,U3531,Tablet
SES511313,2024-05-15 04:49:00,add_to_cart,P0144,U1886,Mobile
SES745431,2024-03-16 04:30:00,purchase,P0370,,Desktop
SES566332,2024-04-01 02:45:00,purchase,P0381,,Mobile
SES606330,2024-05-14 08:46:00,view_item,,U9058,Desktop
SES242277,2024-04-16 08:35:00,view_item,P0127,,Mobile
SES901088,2024-06-15 13:27:00,add_to_cart,P0298,,Tablet
SES331705,2024-05-03 11:56:00,add_to_cart,P0244,,Tablet
SES240296,2024-04-07 09:50:00,search,P0466,,Mobile
SES457618,2024-03-10 05:14:00,view_item,P0152,,Tablet
SES689591,2024-04-03 19:22:00,add_to_cart,P0124,,Desktop
SES347706,2024-06-14 08:38:00,view_item,P0074,U1135,Tablet
SES157167,2024-05-04 08:00:00,view_item,P0320,,Desktop
SES477478,2024-04-03 14:42:00,add_to_cart,,,Desktop
SES592741,2024-04-11 15:45:00,search,P0407,,Mobile
SES908514,2024-06-10 08:25:00,search,P0239,,Desktop
SES527817,2024-03-29 22:04:00,view_item,P0020,U3192,Tablet
SES337671,2024-03-01 03:28:00,search,P0237,,Mobile
SES665057,2024-04-03 22:11:00,search,P0109,,Tablet
SES496585,2024-01-02 08:50:00,purchase,P0474,U7273,Mobile
SES830892,2024-03-25 16:58:00,add_to_cart,,,Desktop
SES915226,2024-06-24 01:29:00,add_to_cart,P0417,,Desktop
SES847188,2024-01-28 15:09:00,add_to_cart,P0255,,Mobile
SES772995,2024-04-12 16:20:00,view_item,P0174,,Desktop
SES153940,2024-05-05 15:14:00,view_item,P0466,,Desktop
SES246001,2024-03-01 20:51:00,view_item,P0269,U3663,Mobile
SES403126,2024-04-23 21:33:00,remove_from_cart,P0008,,Desktop
SES742086,2024-03-16 19:11:00,search,P0061,,Tablet
SES588069,2024-06-14 07:31:00,view_item,P0210,,Tablet
SES699225,2024-06-03 02:45:00,add_to_cart,,,Desktop
SES868689,2024-06-16 13:04:00,search,P0366,,Mobile
SES414163,2024-01-13 19:11:00,add_to_cart,P0426,,Tablet
SES201743,2024-06-25 10:53:00,add_to_cart,,,Tablet
SES581522,2024-03-31 22:08:00,add_to_cart,,U9713,Mobile
SES407347,2024-02-13 15:38:00,add_to_cart,P0434,,Mobile
SES551852,2024-06-02 19:18:00,view_item,,U3903,Desktop
SES919625,2024-03-07 17:51:00,view_item,,,Mobile
SES330184,2024-01-12 07:35:00,view_item,,,Desktop
SES918295,2024-04-28 21:44:00,search,P0408,,Tablet
SES813098,2024-03-04 02:43:00,view_item,P0307,,Mobile
SES289533,2024-04-07 10:16:00,add_to_cart,,U4319,Desktop
SES618762,2024-05-13 10:09:00,add_to_cart,P0278,U9082,Mobile
SES246661,2024-04-08 21:16:00,view_item,,,Mobile
SES978395,2024-04-24 00:25:00,view_item,P0393,U6946,Mobile
SES295146,2024-01-06 03:59:00,view_item,P0430,U2124,Tablet
SES109606,2024-06-09 17:04:00,add_to_cart,P0207,,Tablet
SES520113,2024-03-24 11:39:00,add_to_cart,P0424,,Mobile
SES466015,2024-04-25 14:24:00,view_item,P0041,,Mobile
SES768343,2024-03-22 19:52:00,view_item,,U2175,Mobile
SES599619,2024-01-29 11:09:00,add_to_cart,P0078,U2319,Tablet
SES406135,2024-05-10 03:33:00,view_item,P0491,,Tablet
SES703700,2024-05-02 22:32:00,view_item,,U1667,Desktop
SES822881,2024-01-20 16:23:00,view_item,,,Desktop
SES509509,2024-01-27 07:43:00,search,P0125,U8742,Mobile
SES495865,2024-03-20 01:34:00,view_item,P0120,,Mobile
SES615467,2024-06-02 15:02:00,remove_from_cart,,U9421,Tablet
SES273178,2024-04-08 08:28:00,view_item,,,Desktop
SES717118,2024-02-12 15:50:00,view_item,P0066,,Tablet
SES324734,2024-04-28 08:31:00,view_item,P0095,,Desktop
SES892457,2024-02-21 07:57:00,add_to_cart,,U4431,Desktop
SES480244,2024-03-30 07:50:00,view_item,,,Mobile
SES147608,2024-03-24 03:52:00,purchase,P0101,U426,Tablet
SES157305,2024-03-23 02:17:00,search,,U8253,Desktop
SES614930,2024-02-16 13:43:00,add_to_cart,P0019,U1755,Tablet
SES652462,2024-01-20 07:05:00,add_to_cart,,,Desktop
SES126949,2024-05-17 13:22:00,add_to_cart,P0186,,Mobile
SES329486,2024-06-20 19:26:00,add_to_cart,P0376,U1894,Tablet
SES723790,2024-04-20 14:20:00,view_item,P0082,,Desktop
SES382697,2024-03-24 20:45:00,add_to_cart,P0377,U3241,Desktop
SES202167,2024-05-02 01:00:00,view_item,P0344,U6276,Desktop
SES753743,2024-03-31 05:44:00,search,P0307,U8349,Mobile
SES834785,2024-05-17 22:06:00,view_item,P0333,,Mobile
SES988896,2024-04-20 01:40:00,view_item,P0248,,Mobile
SES972677,2024-01-03 05:25:00,view_item,P0065,U1375,Tablet
SES194954,2024-03-31 17:06:00,search,,U3706,Desktop
SES634520,2024-04-19 10:00:00,view_item,P0264,U8196,Tablet
SES948421,2024-01-13 11:01:00,purchase,P0482,U6981,Tablet
SES351430,2024-05-28 23:13:00,add_to_cart,P0061,,Desktop
SES901472,2024-06-16 23:42:00,view_item,P0132,,Tablet
SES643264,2024-06-26 19:40:00,add_to_cart,P0308,U8721,Mobile
SES884951,2024-01-19 00:45:00,add_to_cart,P0495,U6314,Mobile
SES794546,2024-06-26 04:16:00,search,,U3002,Mobile
SES676153,2024-03-20 05:01:00,search,P0476,,Tablet
SES254042,2024-01-05 22:47:00,remove_from_cart,P0123,,Desktop
SES487805,2024-05-14 22:45:00,remove_from_cart,P0068,U8304,Tablet
SES767998,2024-04-14 12:14:00,view_item,P0483,U9294,Mobile
SES112022,2024-03-09 02:04:00,search,,U9540,Tablet
SES766948,2024-04-27 02:33:00,view_item,P0206,,Desktop
SES338013,2024-03-23 16:10:00,remove_from_cart,P0357,,Tablet
SES231482,2024-04-14 06:59:00,remove_from_cart,,,Desktop
SES125845,2024-04-13 15:17:00,view_item,P0456,,Desktop
SES766468,2024-05-11 11:20:00,remove_from_cart,P0275,,Tablet
SES938870,2024-05-16 22:09:00,view_item,P0083,U1006,Tablet
SES305248,2024-04-22 09:10:00,view_item,,,Mobile
SES924757,2024-06-11 14:15:00,view_item,P0478,,Mobile
SES976437,2024-02-08 19:21:00,view_item,,U8519,Mobile
SES837380,2024-05-03 09:36:00,add_to_cart,,U3018,Mobile
SES925942,2024-01-10 22:24:00,view_item,P0353,,Mobile
SES951370,2024-06-18 11:59:00,view_item,P0084,,Mobile
SES713063,2024-04-01 22:42:00,add_to_cart,P0164,,Mobile
SES761830,2024-02-28 00:32:00,remove_from_cart,P0192,,Desktop
SES695920,2024-04-14 13:55:00,add_to_cart,P0313,U2999,Tablet
SES192029,2024-04-15 21:32:00,search,P0049,,Mobile
SES575034,2024-03-01 16:20:00,view_item,,,Mobile
SES459452,2024-05-26 11:44:00,view_item,P0406,,Tablet
SES878613,2024-01-13 09:49:00,view_item,P0085,U8663,Tablet
SES488606,2024-03-29 00:33:00,add_to_cart,,,Mobile
SES593508,2024-03-10 22:05:00,view_item,P0167,,Desktop
SES209028,2024-01-18 17:50:00,view_item,P0353,,Desktop
SES385211,2024-05-06 16:50:00,view_item,P0388,U6353,Tablet
SES855695,2024-05-10 22:48:00,view_item,P0383,,Mobile
SES543648,2024-05-11 06:22:00,search,P0138,,Mobile
SES268035,2024-06-09 06:43:00,view_item,P0202,,Tablet
SES597165,2024-01-16 16:25:00,view_item,P0336,U2959,Desktop
SES898965,2024-03-30 03:35:00,view_item,P0174,,Desktop
SES767431,2024-03-27 21:48:00,view_item,P0222,,Mobile
SES799324,2024-02-24 22:38:00,view_item,P0429,,Mobile
SES642084,2024-04-06 21:49:00,add_to_cart,P0237,U9981,Mobile
SES923787,2024-03-28 15:21:00,search,,U6117,Tablet
SES808672,2024-01-24 05:34:00,view_item,P0032,,Desktop
SES457570,2024-01-14 22:22:00,view_item,,U3192,Mobile
SES758098,2024-06-16 03:22:00,search,P0114,,Mobile
SES322269,2024-01-16 08:01:00,add_to_cart,P0023,,Desktop
SES746819,2024-04-16 10:21:00,add_to_cart,P0324,U2521,Desktop
SES741020,2024-03-06 13:04:00,view_item,P0024,U2439,Desktop
